model,feature_set,target_recall,score_threshold,val_precision,val_recall,val_n,test_precision,test_recall,test_n,test_fp,test_fn,test_acc,test_kept_p10
hgb,no_lab,1.0,0.0034915742231953345,0.2589928057553957,1.0,139,0.2318840579710145,0.9142857142857143,138,106,3,0.6876790830945558,1.0
rf,no_lab,0.5,0.39077406878415877,0.42857142857142855,0.5,42,0.625,0.7142857142857143,40,15,10,0.9283667621776505,0.94082
rf,no_lab,0.7,0.24070039453121903,0.4727272727272727,0.7222222222222222,55,0.5178571428571429,0.8285714285714286,56,27,6,0.9054441260744985,0.9882
rf,no_lab,0.8,0.2141670556674264,0.453125,0.8055555555555556,64,0.48333333333333334,0.8285714285714286,60,31,6,0.8939828080229226,0.9877
rf,no_lab,0.9,0.1366814781766283,0.34375,0.9166666666666666,96,0.34782608695652173,0.9142857142857143,92,60,3,0.8194842406876791,0.99992
rf,no_lab,0.95,0.019802869552750034,0.17587939698492464,0.9722222222222222,199,0.1797752808988764,0.9142857142857143,178,146,3,0.5730659025787965,1.0
rf,no_lab,1.0,0.017805568979669083,0.1791044776119403,1.0,201,0.1774193548387097,0.9428571428571428,186,153,2,0.5558739255014327,1.0
extra_trees,no_lab,0.5,0.48040037223928195,0.42857142857142855,0.5,42,0.5454545454545454,0.6857142857142857,44,20,11,0.9111747851002865,0.86378
extra_trees,no_lab,0.7,0.3445226207328488,0.4642857142857143,0.7222222222222222,56,0.5208333333333334,0.7142857142857143,48,23,10,0.9054441260744985,0.9085
extra_trees,no_lab,0.8,0.2568200732601864,0.37662337662337664,0.8055555555555556,77,0.37142857142857144,0.7428571428571429,70,44,9,0.8481375358166189,0.9877
extra_trees,no_lab,0.9,0.17507895660823328,0.3142857142857143,0.9166666666666666,105,0.3181818181818182,0.8,88,60,7,0.8080229226361032,0.9976
extra_trees,no_lab,0.95,0.05750632159300813,0.19337016574585636,0.9722222222222222,181,0.18823529411764706,0.9142857142857143,170,138,3,0.5959885386819485,1.0
extra_trees,no_lab,1.0,0.023063527962036104,0.16822429906542055,1.0,214,0.15566037735849056,0.9428571428571428,212,179,2,0.4813753581661891,1.0
gb,no_lab,0.5,0.2219038122939256,0.5,0.5,36,0.5263157894736842,0.5714285714285714,38,18,15,0.9054441260744985,0.807
gb,no_lab,0.7,0.0998911867571974,0.4642857142857143,0.7222222222222222,56,0.4716981132075472,0.7142857142857143,53,28,10,0.8911174785100286,0.9287
gb,no_lab,0.8,0.07375481564527463,0.43283582089552236,0.8055555555555556,67,0.4576271186440678,0.7714285714285715,59,32,8,0.8853868194842407,0.97785
gb,no_lab,0.9,0.03223868796947037,0.34375,0.9166666666666666,96,0.3333333333333333,0.8571428571428571,90,60,5,0.8137535816618912,0.99936
gb,no_lab,0.95,0.012151989255103588,0.20833333333333334,0.9722222222222222,168,0.1951219512195122,0.9142857142857143,164,132,3,0.6131805157593123,1.0
gb,no_lab,1.0,0.010537780674724837,0.1925133689839572,1.0,187,0.1711229946524064,0.9142857142857143,187,155,3,0.5472779369627507,1.0
logreg,numeric_only,0.5,0.7420406073958523,0.5806451612903226,0.5,31,0.5333333333333333,0.45714285714285713,30,14,19,0.9054441260744985,0.73114
logreg,numeric_only,0.7,0.2171451486655364,0.29545454545454547,0.7222222222222222,88,0.325,0.7428571428571429,80,54,9,0.8194842406876791,0.9888
logreg,numeric_only,0.8,0.09723973743586804,0.25892857142857145,0.8055555555555556,112,0.27358490566037735,0.8285714285714286,106,77,6,0.7621776504297995,0.9998400000000001
logreg,numeric_only,0.9,0.06028033614720775,0.2088607594936709,0.9166666666666666,158,0.20754716981132076,0.9428571428571428,159,126,2,0.6332378223495702,0.99998
logreg,numeric_only,0.95,0.014040554449895883,0.13513513513513514,0.9722222222222222,259,0.1383399209486166,1.0,253,218,0,0.3753581661891118,1.0
