method,n_test_cells,accuracy,neurite_macro_f1,axon_f1,basal_f1,apical_f1,per_cell_f1_mean,per_cell_f1_p10,per_cell_f1_p25,pyramidal_acc,pyramidal_neurite_f1,pyramidal_apical_f1,interneuron_neurite_f1
lmeasure_axon_cleanup@0.5,2402,0.9794105712848592,0.9449592537197007,0.9914028355365754,0.9444914887077484,0.8989834369147783,0.929796128226478,0.6505700000000001,1.0,0.9810935254859674,0.9454295781969327,0.9063022431643827,0.9691686359166259
lmeasure_rf,2402,0.9794738110297578,0.9445638482747332,0.9923092358948229,0.9400631554340186,0.9013191534953581,0.8952464612822648,0.4808400000000001,1.0,0.9842514848107919,0.9486764546273214,0.9086869516294913,0.9595862158545656
lmeasure_lowconf@1.01,2402,0.9794738110297578,0.9445638482747332,0.9923092358948229,0.9400631554340186,0.9013191534953581,0.8952464612822648,0.4808400000000001,1.0,0.9842514848107919,0.9486764546273214,0.9086869516294913,0.9595862158545656
v12,2402,0.9791076357604519,0.9443371627325358,0.9911509871011392,0.943968468581414,0.897892032515054,0.9296103663613656,0.64802,1.0,0.9808621099335884,0.9449984252004047,0.90521361864843,0.9684623165821169
consensus_lowconf@0.5,2402,0.9791076357604519,0.9443371627325358,0.9911509871011392,0.943968468581414,0.897892032515054,0.9296103663613656,0.64802,1.0,0.9808621099335884,0.9449984252004047,0.90521361864843,0.9684623165821169
consensus_lowconf@0.7,2402,0.9791076357604519,0.9443371627325358,0.9911509871011392,0.943968468581414,0.897892032515054,0.9296103663613656,0.64802,1.0,0.9808621099335884,0.9449984252004047,0.90521361864843,0.9684623165821169
consensus_lowconf@0.8,2402,0.9791076357604519,0.9443371627325358,0.9911509871011392,0.943968468581414,0.897892032515054,0.9296103663613656,0.64802,1.0,0.9808621099335884,0.9449984252004047,0.90521361864843,0.9684623165821169
consensus_lowconf@0.9,2402,0.9791076357604519,0.9443371627325358,0.9911509871011392,0.943968468581414,0.897892032515054,0.9296103663613656,0.64802,1.0,0.9808621099335884,0.9449984252004047,0.90521361864843,0.9684623165821169
consensus_lowconf@0.95,2402,0.9791076357604519,0.9443371627325358,0.9911509871011392,0.943968468581414,0.897892032515054,0.9296103663613656,0.64802,1.0,0.9808621099335884,0.9449984252004047,0.90521361864843,0.9684623165821169
consensus_lowconf@1.01,2402,0.9791076357604519,0.9443371627325358,0.9911509871011392,0.943968468581414,0.897892032515054,0.9296103663613656,0.64802,1.0,0.9808621099335884,0.9449984252004047,0.90521361864843,0.9684623165821169
consensus_axon_cleanup@0.5,2402,0.9791076357604519,0.9443371627325358,0.9911509871011392,0.943968468581414,0.897892032515054,0.9296103663613656,0.64802,1.0,0.9808621099335884,0.9449984252004047,0.90521361864843,0.9684623165821169
consensus_axon_cleanup@0.7,2402,0.9791076357604519,0.9443371627325358,0.9911509871011392,0.943968468581414,0.897892032515054,0.9296103663613656,0.64802,1.0,0.9808621099335884,0.9449984252004047,0.90521361864843,0.9684623165821169
consensus_axon_cleanup@0.8,2402,0.9791076357604519,0.9443371627325358,0.9911509871011392,0.943968468581414,0.897892032515054,0.9296103663613656,0.64802,1.0,0.9808621099335884,0.9449984252004047,0.90521361864843,0.9684623165821169
consensus_axon_cleanup@0.9,2402,0.9791076357604519,0.9443371627325358,0.9911509871011392,0.943968468581414,0.897892032515054,0.9296103663613656,0.64802,1.0,0.9808621099335884,0.9449984252004047,0.90521361864843,0.9684623165821169
consensus_axon_cleanup@0.95,2402,0.9791076357604519,0.9443371627325358,0.9911509871011392,0.943968468581414,0.897892032515054,0.9296103663613656,0.64802,1.0,0.9808621099335884,0.9449984252004047,0.90521361864843,0.9684623165821169
consensus_axon_cleanup@1.01,2402,0.9791076357604519,0.9443371627325358,0.9911509871011392,0.943968468581414,0.897892032515054,0.9296103663613656,0.64802,1.0,0.9808621099335884,0.9449984252004047,0.90521361864843,0.9684623165821169
