file,n_nodes_conf,stage1_pred_conf_run,stage1_conf_conf_run,pred_axon_conf_run,pred_basal_conf_run,pred_apical_conf_run,node_label_disagree_frac,node_conf_abs_delta_mean,branch3_changed_frac,branch3_label_disagree_frac,branch3_conf_abs_delta_mean,branch3_axon_delta_frac,branch3_basal_delta_frac,branch3_apical_delta_frac,branch3_to_apical_frac,branch3_from_apical_frac,conf_mean,conf_std,conf_min,conf_p05,conf_p10,conf_p25,conf_median,conf_frac_lt_05,conf_frac_lt_06,conf_frac_lt_07,conf_frac_lt_08,conf_frac_lt_09,axon_conf_mean,axon_conf_p10,axon_conf_frac_lt_07,basal_conf_mean,basal_conf_p10,basal_conf_frac_lt_07,apical_conf_mean,apical_conf_p10,apical_conf_frac_lt_07,n_pred_branches,branch_conf_mean,branch_conf_min,branch_conf_p10,branch_frac_conf_lt_07,branch_frac_conf_lt_08,branch_n_nodes_p90,pred_soma_z,pred_axon_z_extent,pred_axon_z_mean_rel_soma,pred_axon_z_std,pred_axon_x_extent,pred_axon_y_extent,pred_basal_z_extent,pred_basal_z_mean_rel_soma,pred_basal_z_std,pred_basal_x_extent,pred_basal_y_extent,pred_apical_z_extent,pred_apical_z_mean_rel_soma,pred_apical_z_std,pred_apical_x_extent,pred_apical_y_extent
neuromorpho__236-2a-30-AW.swc,360,pyramidal,0.992504,7,207,145,0,0,0,0,0,0,0,0,0,0,0.983722,0.07256,0.3,0.98706,0.98706,0.98706,0.994301,0.0111111,0.0111111,0.0111111,0.0111111,0.0111111,0.991989,0.991989,0,0.994301,0.994301,0,0.968107,0.98706,0.0275862,47,0.989805,0.3,0.98706,0,0,16.4,0,10.87,8.63,3.64204,0.99,36.81,111.13,10.1271,24.9733,232.35,145.58,104.46,12.3469,23.581,181.4,300.81
neuromorpho__sec-12.swc,358,interneuron,0.933708,80,277,0,0,0,0,0,0,0,0,0,0,0,0.996848,0.00688069,0.976703,0.976703,0.983387,0.999551,0.999551,0,0,0,0,0,0.987446,0.976703,0,0.999551,0.999551,0,0,0,0,109,0.997464,0.976703,0.987476,0,0,6.4,0,27.02,14.6603,8.29073,110.57,64.96,36.4,3.72986,8.44988,163.81,268.49,0,0,0,0,0
neuromorpho__108A_2_l_WT_4.swc,325,pyramidal,0.944735,0,0,324,0,0,0,0,0,0,0,0,0,0,0.9871,0.000716661,0.98706,0.98706,0.98706,0.98706,0.98706,0,0,0,0,0,0,0,0,0,0,0,0.98706,0.98706,0,28,0.987522,0.98706,0.98706,0,0,24.1,0,0,0,0,0,0,0,0,0,0,0,102.81,-9.4904,19.4467,114.59,250.86
neuromorpho__236-1a-7-AW.swc,348,pyramidal,0.990422,7,209,131,0,0,0,0,0,0,0,0,0,0,0.977713,0.0971615,0.3,0.987001,0.987001,0.98706,0.994301,0.0201149,0.0201149,0.0201149,0.0201149,0.0201149,0.991812,0.991812,0,0.994301,0.994301,0,0.950325,0.987001,0.0534351,62,0.988555,0.3,0.987001,0,0.016129,10.8,0,0,0,0,10.21,21.54,102.34,27.0694,26.3199,246.01,194.87,78.55,13.8683,20.8874,230.18,428.39
neuromorpho__B3_slide2_14.swc,322,pyramidal,0.976807,35,125,161,0,0,0,0,0,0,0,0,0,0,0.953944,0.154427,0.3,0.334353,0.98706,0.98706,0.98706,0.052795,0.052795,0.052795,0.052795,0.052795,0.695422,0.3,0.428571,0.994301,0.994301,0,0.978525,0.98706,0.0124224,38,0.980776,0.3,0.98706,0.0263158,0.0263158,17.3,-12.7256,48.2,-11.679,14.9409,37.73,311.83,71.34,-3.39292,14.5833,212.66,209.44,62.06,0.0240649,17.1136,176.27,290.7
neuromorpho__I5-28.swc,371,pyramidal,0.993596,0,259,111,0,0,0,0,0,0,0,0,0,0,0.99215,0.00333884,0.98706,0.98706,0.98706,0.98706,0.994301,0,0,0,0,0,0,0,0,0.994301,0.994301,0,0.98706,0.98706,0,43,0.992582,0.98706,0.98706,0,0,17.8,0,0,0,0,0,0,132.88,-4.30062,32.9935,70.45,79.24,65.94,2.58378,16.0988,64.91,173.95
neuromorpho__242-3-18LU.swc,368,pyramidal,0.985221,0,126,241,0,0,0,0,0,0,0,0,0,0,0.986263,0.00889165,0.967387,0.967387,0.967387,0.986844,0.986844,0,0,0,0,0,0,0,0,0.994301,0.994301,0,0.982004,0.967387,0,62,0.987885,0.967387,0.969121,0,0,15,0,0,0,0,0,0,120.19,-27.6814,34.9594,223.23,245.15,121.04,-25.4832,35.3578,229.05,342.85
neuromorpho__242-2-13VN.swc,360,pyramidal,0.998435,7,92,260,0,0,0,0,0,0,0,0,0,0,0.979405,0.0806896,0.3,0.98706,0.98706,0.98706,0.98706,0.0138889,0.0138889,0.0138889,0.0138889,0.0138889,0.991812,0.991812,0,0.993943,0.992567,0,0.973848,0.98706,0.0192308,50,0.985537,0.3,0.98706,0,0,19,0,9.31,3.81857,3.02363,13.41,63.89,90.45,-14.5386,20.219,168.71,159.5,166.3,-19.435,26.6642,248.66,343.29
neuromorpho__PDE1c_vGluT2-KO_IN01.swc,338,interneuron,0.869881,0,337,0,0,0,0,0,0,0,0,0,0,0,0.999314,0.00103724,0.994808,0.99884,0.999551,0.999551,0.999551,0,0,0,0,0,0,0,0,0.999312,0.999551,0,0,0,0,17,0.999299,0.994808,0.999551,0,0,33.4,0.00333333,0,0,0,0,0,107.66,-1.44927,22.4736,205.62,202.2,0,0,0,0,0
neuromorpho__KO4-5-3-9.swc,367,pyramidal,0.92085,0,223,143,0,0,0,0,0,0,0,0,0,0,0.991495,0.00355607,0.98706,0.98706,0.98706,0.98706,0.994301,0,0,0,0,0,0,0,0,0.994301,0.994301,0,0.98706,0.98706,0,71,0.99224,0.98706,0.98706,0,0,10,0,0,0,0,0,0,24,0.544843,4.69402,85.65,99.47,28,-3.6014,5.0841,25.21,163.95
