file,max_prob4,n_prob4_ge_045,n_prob4_ge_035,n_prob4_ge_025,n_prob4_ge_015,n_prob4_ge_005,n_nodes,n_apical_gt,n_basal_gt,n_axon_gt,n_apical_pred,n_basal_pred,n_axon_pred,accuracy,F1_neurite,axon_F1,basal_F1,apical_F1,soma_F1
hpf_ca1__202219_031_edited.swc,0.8933688998222351,1,1,1,1,2,15259,1379,815,13064,1379,815,13064,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202219_032_edited.swc,0.06717990338802338,0,0,0,0,5,30040,0,1993,28046,0,1993,28046,1.0,1.0,1.0,1.0,,1.0
hpf_ca1__202219_041_edited.swc,0.07557912170886993,0,0,0,0,2,33018,0,805,32212,0,805,32212,1.0,1.0,1.0,1.0,,1.0
hpf_ca1__202224_045_edited.swc,0.8429917693138123,1,1,2,3,9,12942,0,2954,9987,1648,1306,9987,0.8727,0.8066,1.0,0.6131,,1.0
hpf_ca1__202224_047_edited.swc,0.8130290508270264,1,1,1,1,7,14759,1272,718,12768,1272,718,12768,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202225_003_edited.swc,0.8881030082702637,1,1,1,2,6,59007,2888,1070,55048,1726,2232,55048,0.9803,0.7987,1.0,0.6481,0.7482,1.0
hpf_ca1__202225_054_edited.swc,0.21893714368343353,0,0,0,1,6,19882,0,4431,15450,0,4431,15450,1.0,1.0,1.0,1.0,,1.0
hpf_ca1__202226_002_edited.swc,0.8965945243835449,1,1,1,1,7,16319,1201,1536,13581,0,2737,13581,0.9264,0.573,1.0,0.7189,0.0,1.0
hpf_ca1__202226_003_edited.swc,0.8734182715415955,1,1,1,1,5,51124,1152,1788,48183,1152,1788,48183,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202226_006_edited.swc,0.8834303021430969,1,1,1,2,11,70303,3134,2385,64783,3134,20629,46539,0.7405,0.6811,0.8361,0.2073,1.0,1.0
hpf_ca1__202226_008_edited.swc,0.8954890966415405,1,1,1,2,5,13266,1327,1908,10030,1327,1908,10030,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202226_010_edited.swc,0.859114408493042,1,1,1,2,7,22542,1411,1502,19628,1411,1502,19628,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202226_018_edited.swc,0.8126205205917358,1,1,1,1,8,11173,1229,1059,8884,1229,1059,8884,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202226_020_edited.swc,0.5025144219398499,1,2,2,2,3,13459,0,1571,11887,0,1571,11887,1.0,1.0,1.0,1.0,,1.0
hpf_ca1__202226_021_edited.swc,0.1559412032365799,0,0,0,1,8,42591,0,2806,39784,0,2806,39784,1.0,1.0,1.0,1.0,,1.0
hpf_ca1__202226_022_edited.swc,0.0662211924791336,0,0,0,0,4,21190,0,1473,19716,0,1473,19716,1.0,1.0,1.0,1.0,,1.0
hpf_ca1__202228_037_edited.swc,0.1655963957309723,0,0,0,1,9,33430,0,8068,25361,0,8068,25361,1.0,1.0,1.0,1.0,,1.0
hpf_ca1__202229_025_edited.swc,0.2175365686416626,0,0,0,1,6,37061,0,2061,34999,0,2061,34999,1.0,1.0,1.0,1.0,,1.0
hpf_ca1__202232_003_edited.swc,0.9135148525238037,1,1,1,1,7,52919,2385,1035,49498,2385,1035,49498,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202232_004_edited.swc,0.9068646430969238,1,1,1,1,5,18766,2232,665,15868,2232,665,15868,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202232_019_edited.swc,0.9057953357696533,1,1,1,1,10,40703,3319,1993,35390,3319,1993,35390,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202232_021_edited.swc,0.8149901032447815,1,1,1,1,6,25038,1115,530,23392,1115,530,23392,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202232_069_edited.swc,0.9130515456199646,1,1,2,2,5,14507,1639,1454,11413,1639,1454,11413,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202233_007_edited.swc,0.9139933586120605,1,1,1,1,9,57064,2886,1872,52305,2886,1872,52305,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202233_017_edited.swc,0.9141520261764526,1,1,1,1,7,55771,3187,1703,50880,3187,1703,50880,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202233_022_edited.swc,0.31669312715530396,0,0,1,2,4,53779,0,3483,50295,0,3483,50295,1.0,1.0,1.0,1.0,,1.0
hpf_ca1__202234_014_edited.swc,0.9140747785568237,1,1,1,1,6,13715,2219,703,10792,2219,703,10792,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202234_020_edited.swc,0.9071967005729675,1,1,1,1,5,70450,0,5255,65194,3690,1565,65194,0.9476,0.7295,1.0,0.4589,,1.0
hpf_ca1__202234_021_edited.swc,0.848663330078125,1,1,1,1,1,54758,0,3982,50775,3982,0,50775,0.9273,0.5,1.0,0.0,,1.0
hpf_ca1__202234_026_edited.swc,0.8672201633453369,1,1,1,1,3,105116,2740,1199,101176,2740,1199,101176,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202234_028_edited.swc,0.9116001129150391,1,1,1,1,5,14395,1439,416,12539,1439,416,12539,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202234_029_edited.swc,0.9017908573150635,1,1,1,1,9,15181,1479,799,12902,1479,799,12902,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202234_064_edited.swc,0.29813438653945923,0,0,1,1,9,14115,0,1290,12824,0,1290,12824,1.0,1.0,1.0,1.0,,1.0
hpf_ca1__202235_010_edited.swc,0.8626500368118286,1,1,1,1,8,71696,1943,1945,67807,1943,1945,67807,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202235_013_edited.swc,0.9037697315216064,1,1,1,1,9,83968,2290,1545,80132,2290,1545,80132,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202235_063_edited.swc,0.8334683179855347,1,1,1,1,6,36309,1141,846,34321,1141,846,34321,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202237_013_edited.swc,0.9124507308006287,1,1,1,1,14,78867,2558,1637,74671,2558,1637,74671,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202237_014_edited.swc,0.9074105024337769,1,1,1,1,9,82589,2772,1757,78059,2772,1757,78059,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202237_018_edited.swc,0.8804870247840881,1,1,1,1,9,67276,1930,1474,63871,1930,1474,63871,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202237_021_edited.swc,0.8823582530021667,2,2,2,2,9,60025,1925,2242,55857,1925,2242,55857,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202237_022_edited.swc,0.9027383327484131,1,1,1,1,5,37107,1384,851,34871,1384,851,34871,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202237_037_edited.swc,0.2886802554130554,0,0,1,1,5,50021,0,1650,48370,0,1650,48370,1.0,1.0,1.0,1.0,,1.0
hpf_ca1__202237_108_edited.swc,0.8521023988723755,1,1,1,1,8,37518,1216,861,35440,1216,861,35440,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202237_110_edited.swc,0.8939095735549927,1,1,1,1,8,40061,1504,789,37767,1504,789,37767,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202237_142_edited.swc,0.8849596977233887,1,1,1,1,9,19996,1373,1142,17480,1373,1142,17480,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202237_143_edited.swc,0.9101043343544006,1,1,1,1,7,46548,2026,990,43531,2026,990,43531,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202237_144_edited.swc,0.9055428504943848,1,1,1,1,6,7378,2092,711,4574,2092,711,4574,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202237_147_edited.swc,0.08342202007770538,0,0,0,0,8,13551,0,1897,11653,0,1897,11653,1.0,1.0,1.0,1.0,,1.0
hpf_ca1__202237_148_edited.swc,0.7173585891723633,1,1,1,1,3,20025,0,1985,18039,0,1985,18039,1.0,1.0,1.0,1.0,,1.0
hpf_ca1__202238_010_edited.swc,0.7633203268051147,1,1,1,1,7,40434,1489,1038,37906,1489,1038,37906,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202238_014_edited.swc,0.8323265910148621,1,1,1,1,7,65862,1862,1279,62720,1862,1279,62720,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202238_016_edited.swc,0.9088383316993713,1,1,1,1,7,19790,1510,820,17459,1510,820,17459,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202238_020_edited.swc,0.8880336880683899,1,1,1,1,5,57572,1734,762,55075,1734,762,55075,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202238_021_edited.swc,0.8927115201950073,1,1,1,1,10,52353,1960,1225,49167,1960,1225,49167,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202238_036_edited.swc,0.8773194551467896,1,1,1,1,6,20839,1224,1026,18588,1224,1026,18588,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202238_041_edited.swc,0.7784929275512695,1,1,1,1,10,55049,2051,1464,51533,2051,1464,51533,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202238_097_edited.swc,0.8956820964813232,1,1,1,1,6,35113,1349,1088,32675,1349,1088,32675,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202240_006_edited.swc,0.0807003527879715,0,0,0,0,3,43571,0,2755,40815,0,2755,40815,1.0,1.0,1.0,1.0,,1.0
hpf_ca1__202240_009_edited.swc,0.6128714680671692,1,1,1,1,5,19540,979,507,18053,979,507,18053,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202240_017_edited.swc,0.0707593560218811,0,0,0,0,3,41036,0,1402,39633,0,1402,39633,1.0,1.0,1.0,1.0,,1.0
hpf_ca1__202240_018_edited.swc,0.059103790670633316,0,0,0,0,4,41577,0,1846,39730,0,1846,39730,1.0,1.0,1.0,1.0,,1.0
hpf_ca1__202240_021_edited.swc,0.898495078086853,1,1,1,1,6,18234,2463,1228,14542,2463,1228,14542,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202240_022_edited.swc,0.14506442844867706,0,0,0,0,9,38208,0,3209,34998,0,3209,34998,1.0,1.0,1.0,1.0,,1.0
hpf_ca1__202240_023_edited.swc,0.08734036982059479,0,0,0,0,3,41289,0,1635,39653,0,1635,39653,1.0,1.0,1.0,1.0,,1.0
hpf_ca1__202240_024_edited.swc,0.14823035895824432,0,0,0,0,7,17760,0,1595,16164,0,1595,16164,1.0,1.0,1.0,1.0,,1.0
hpf_ca1__202240_039_edited.swc,0.05790765956044197,0,0,0,0,3,39005,0,1050,37954,0,1050,37954,1.0,1.0,1.0,1.0,,1.0
hpf_ca1__202241_001_edited.swc,0.08063599467277527,0,0,0,0,8,26483,0,2132,24350,0,2132,24350,1.0,1.0,1.0,1.0,,1.0
hpf_ca1__202241_002_edited.swc,0.9084714651107788,1,1,1,1,7,44226,2376,1935,39914,2376,1935,39914,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202241_003_edited.swc,0.12288002669811249,0,0,0,0,6,30724,9054,1018,20651,0,10072,20651,0.7053,0.3945,1.0,0.1836,0.0,1.0
hpf_ca1__202241_007_edited.swc,0.11883202940225601,0,0,0,0,3,89574,0,3482,86091,0,3482,86091,1.0,1.0,1.0,1.0,,1.0
hpf_ca1__202241_009_edited.swc,0.8586260676383972,1,1,1,1,9,20032,2019,1327,16685,2019,1327,16685,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202241_012_edited.swc,0.9094579219818115,1,1,1,1,7,12322,1512,1114,9695,1512,1114,9695,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202241_016_edited.swc,0.7899024486541748,1,1,2,2,7,19712,1820,1975,15916,1820,1975,15916,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202242_002_edited.swc,0.7843201160430908,1,1,1,1,4,29425,4316,1483,23625,4316,1483,23625,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202242_004_edited.swc,0.8829754590988159,1,1,1,1,5,11334,1484,926,8923,1484,926,8923,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202242_005_edited.swc,0.8654224872589111,1,1,1,1,2,28803,1274,622,26906,1274,71,27457,0.9809,0.7316,0.9899,0.2049,1.0,1.0
hpf_ca1__202242_006_edited.swc,0.22316813468933105,0,0,0,1,11,25594,0,1476,24117,0,1476,24117,1.0,1.0,1.0,1.0,,1.0
hpf_ca1__202242_007_edited.swc,0.8496127128601074,1,1,2,2,3,2963,0,1036,1926,1926,717,319,0.2423,0.409,0.0,0.818,,1.0
hpf_ca1__202242_009_edited.swc,0.4360150098800659,0,1,1,1,3,842,0,299,542,0,299,542,1.0,1.0,1.0,1.0,,1.0
hpf_ca1__202242_010_edited.swc,0.8082770109176636,1,1,1,1,7,9044,0,1170,7873,0,9043,0,0.1295,0.1146,0.0,0.2291,,1.0
hpf_ca1__202243_001_edited.swc,0.9009690880775452,1,1,1,1,5,14512,1476,1043,11992,1476,1043,11992,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202243_002_edited.swc,0.878591001033783,2,2,2,2,6,16521,1792,565,14163,1792,2397,12331,0.8891,0.7708,0.9309,0.3815,1.0,1.0
hpf_ca1__202243_003_edited.swc,0.895877480506897,1,1,1,1,4,16874,1616,866,14391,1616,866,14391,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202243_004_edited.swc,0.9056070446968079,1,1,1,1,4,21088,2197,875,18015,2197,875,18015,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__202243_006_edited.swc,0.05964333191514015,0,0,0,0,2,29224,0,1280,27943,0,1280,27943,1.0,1.0,1.0,1.0,,1.0
hpf_ca1__202243_007_edited.swc,0.16564148664474487,0,0,0,1,4,21201,0,2007,19193,0,2007,19193,1.0,1.0,1.0,1.0,,1.0
hpf_ca1__202243_009_edited.swc,0.9063065052032471,1,1,1,1,2,17660,2225,1435,13999,3654,6,13999,0.9191,0.5884,1.0,0.0083,0.7569,1.0
hpf_ca1__202243_010_edited.swc,0.82718825340271,1,1,1,1,3,20445,3126,1117,16201,3126,1117,16201,1.0,1.0,1.0,1.0,1.0,1.0
