name,n_nodes,predicted_cell_type,stage1_correct,neurite_macro_f1,macro_f1,accuracy,n_apical_gt,n_basal_gt,n_axon_gt
hpf_ca1__202234_014_edited.swc,13715,pyramidal,True,0.4626,0.597,0.8382,2219,703,10792
hpf_ca1__202234_016_edited.swc,28322,pyramidal,True,0.487,0.6152,0.9496,1427,610,26284
hpf_ca1__202234_017_edited.swc,36160,pyramidal,True,0.5662,0.6746,0.9323,2448,2836,30874
hpf_ca1__202234_018_edited.swc,3764,pyramidal,True,0.1622,0.3716,0.1663,1819,625,1319
hpf_ca1__202234_025_edited.swc,105748,pyramidal,True,0.5069,0.6302,0.9666,3536,1921,100289
hpf_ca1__202234_026_edited.swc,105116,pyramidal,True,0.4889,0.6167,0.9739,2740,1199,101176
hpf_ca1__202234_027_edited.swc,28510,pyramidal,True,0.5135,0.6351,0.9331,1907,1121,25481
hpf_ca1__202234_028_edited.swc,14395,pyramidal,True,0.4555,0.5916,0.9,1439,416,12539
hpf_ca1__202234_029_edited.swc,15181,pyramidal,True,0.5064,0.6298,0.9026,1479,799,12902
hpf_ca1__202235_010_edited.swc,71696,pyramidal,True,0.5556,0.6667,0.9729,1943,1945,67807
hpf_ca1__202235_012_edited.swc,57117,pyramidal,True,0.5412,0.6559,0.9753,1413,1170,54533
hpf_ca1__202235_013_edited.swc,83968,pyramidal,True,0.5247,0.6435,0.9727,2290,1544,80132
hpf_ca1__202235_063_edited.swc,36309,pyramidal,True,0.5324,0.6493,0.9686,1141,846,34321
hpf_ca1__202237_013_edited.swc,78867,pyramidal,True,0.5205,0.6403,0.9676,2558,1637,74671
hpf_ca1__202237_014_edited.swc,82589,pyramidal,True,0.5197,0.6398,0.9664,2772,1757,78059
hpf_ca1__202237_018_edited.swc,67276,pyramidal,True,0.5348,0.6511,0.9713,1930,1474,63871
hpf_ca1__202237_021_edited.swc,60025,pyramidal,True,0.5665,0.6749,0.9679,1925,2242,55857
hpf_ca1__202237_022_edited.swc,37107,pyramidal,True,0.5172,0.6379,0.9627,1384,851,34871
hpf_ca1__202237_023_edited.swc,26024,pyramidal,True,0.5586,0.669,0.9596,1051,1096,23876
hpf_ca1__202237_027_edited.swc,38774,pyramidal,True,0.5085,0.6313,0.9411,2282,1263,35228
hpf_ca1__202237_028_edited.swc,29490,pyramidal,True,0.5177,0.6382,0.9599,1182,731,27576
hpf_ca1__202237_030_edited.swc,37085,pyramidal,True,1.0,1.0,1.0,1183,341,35560
hpf_ca1__202237_042_edited.swc,37761,pyramidal,True,1.0,1.0,1.0,1006,594,36160
hpf_ca1__202237_043_edited.swc,34679,pyramidal,True,0.5307,0.648,0.9763,823,597,33258
hpf_ca1__202237_108_edited.swc,37518,pyramidal,True,0.5287,0.6465,0.9676,1216,861,35440
hpf_ca1__202237_110_edited.swc,40061,pyramidal,True,0.504,0.628,0.9625,1504,789,37767
hpf_ca1__202237_113_edited.swc,28848,pyramidal,True,0.5304,0.6478,0.962,1096,793,26958
hpf_ca1__202237_142_edited.swc,19996,pyramidal,True,0.5415,0.6561,0.9313,1373,1142,17480
