method,file,cell_type,n_nodes,accuracy,neurite_macro_f1
neurom_rf,hpf_ca1__202405_005_edited.swc,pyramidal,41716,0.9445,0.7933
neurom_rf,hpf_ca1__202405_016_edited.swc,pyramidal,21298,0.9875,0.9226
neurom_rf,hpf_ca1__202409_002_edited.swc,pyramidal,24776,0.8894,0.6556
neurom_rf,hpf_ca1__202409_006_edited.swc,pyramidal,14392,0.9340,0.8276
neurom_rf,hpf_ca1__202409_007_edited.swc,pyramidal,18881,0.9589,0.8419
neurom_rf,hpf_ca1__202410_017_edited.swc,pyramidal,26447,0.9310,0.8802
neurom_rf,hpf_ca1__202411_001_edited.swc,pyramidal,18950,0.7806,0.6262
neurom_rf,hpf_ca1__202411_008_edited.swc,pyramidal,12788,0.9264,0.8232
neurom_rf,hpf_ca1__202411_010_edited.swc,pyramidal,25553,0.8617,0.7261
neurom_rf,hpf_ca1__202411_022_edited.swc,pyramidal,46704,0.9025,0.6319
neurom_rf,hpf_ca1__202412_005_edited.swc,pyramidal,29268,0.9824,0.8959
neurom_rf,hpf_ca1__202412_009_edited.swc,pyramidal,36311,0.9897,0.9220
neurom_rf,hpf_ca1__202412_011_edited.swc,pyramidal,30760,0.9928,0.9368
neurom_rf,hpf_ca1__202412_021_edited.swc,pyramidal,19891,0.9822,0.9101
neurom_rf,hpf_ca1__202412_098_edited.swc,pyramidal,77461,0.9937,0.9223
neurom_rf,hpf_ca1__202412_099_edited.swc,pyramidal,44571,0.9879,0.8622
neurom_rf,hpf_ca1__202413_054_edited.swc,pyramidal,53539,0.9694,0.7719
neurom_rf,hpf_ca1__202413_067_edited.swc,pyramidal,39361,0.9123,0.7106
neurom_rf,hpf_ca1__202414_255_edited.swc,pyramidal,72484,0.9548,0.6881
neurom_rf,hpf_ca1__202414_270_edited.swc,pyramidal,31894,0.9751,0.9044
neurom_rf,hpf_ca1__202414_542_edited.swc,pyramidal,53877,0.9838,0.8735
neurom_rf,hpf_ca1__202415_003_edited.swc,pyramidal,91934,0.9760,0.8147
neurom_rf,hpf_ca1__202417_008_edited.swc,pyramidal,32128,0.9751,0.8515
neurom_rf,hpf_ca1__202417_047_edited.swc,pyramidal,12723,0.9465,0.8871
neurom_rf,hpf_ca1__202418_010_edited.swc,pyramidal,49583,0.9630,0.7464
neurom_rf,hpf_ca1__202418_016_edited.swc,pyramidal,8283,0.9180,0.8743
neurom_rf,hpf_ca1__202419_054_edited.swc,pyramidal,53674,0.9871,0.8910
neurom_rf,hpf_ca1__202423_005_edited.swc,pyramidal,104754,0.9932,0.9083
neurom_rf,hpf_ca1__202423_006_edited.swc,pyramidal,16777,0.9505,0.7870
neurom_rf,hpf_ca1__202423_013_edited.swc,pyramidal,45777,0.9835,0.8454
neurom_rf,hpf_ca1__202423_024_edited.swc,pyramidal,37789,0.6960,0.5435
neurom_rf,hpf_ca1__202423_025_edited.swc,pyramidal,51714,0.9970,0.9769
neurom_rf,hpf_ca1__202423_033_edited.swc,pyramidal,59489,0.9818,0.8380
neurom_rf,hpf_ca1__202426_009_edited.swc,pyramidal,66598,0.9698,0.7617
neurom_rf,hpf_ca1__202426_023_edited.swc,pyramidal,21107,0.6829,0.6784
neurom_rf,hpf_ca1__202426_024_edited.swc,pyramidal,17150,0.8764,0.6929
neurom_rf,hpf_ca1__202426_044_edited.swc,pyramidal,62280,0.9688,0.7996
neurom_rf,hpf_ca1__202426_054_edited.swc,pyramidal,31714,0.8554,0.6365
neurom_rf,hpf_ca1__202427_027_edited.swc,pyramidal,41412,0.9304,0.7416
neurom_rf,hpf_ca1__202427_048_edited.swc,pyramidal,51550,0.9864,0.9301
neurom_rf,hpf_ca1__202427_135_edited.swc,pyramidal,20847,0.8879,0.7720
neurom_rf,hpf_ca1__202427_143_edited.swc,pyramidal,84679,0.9800,0.7629
neurom_rf,hpf_ca1__202461_011_edited.swc,pyramidal,47046,0.9614,0.6908
neurom_rf,hpf_ca1__202461_014_edited.swc,pyramidal,60941,0.9463,0.8046
neurom_rf,hpf_ca1__202464_010_edited.swc,pyramidal,15900,0.9677,0.9238
neurom_rf,hpf_ca1__202497_001_edited.swc,pyramidal,44018,0.9937,0.9712
neurom_rf,hpf_ca1__202497_013_edited.swc,pyramidal,43457,0.9880,0.9423
neurom_rf,hpf_ca1__202497_020_edited.swc,pyramidal,32754,0.9759,0.9073
neurom_rf,hpf_ca1__202497_022_edited.swc,pyramidal,43240,0.9877,0.9258
neurom_rf,hpf_ca1__202498_003_edited.swc,pyramidal,32575,0.9746,0.8121
neurom_rf,hpf_ca1__202498_006_edited.swc,pyramidal,37298,0.9875,0.9395
neurom_rf,hpf_ca1__202498_012_edited.swc,pyramidal,35858,0.9851,0.8823
neurom_rf,hpf_ca1__202498_019_edited.swc,pyramidal,58196,0.9338,0.6468
neurom_rf,hpf_ca1__202499_004_edited.swc,pyramidal,51679,0.9903,0.9287
neurom_rf,hpf_ca1__202499_017_edited.swc,pyramidal,22802,0.9776,0.9124
neurom_rf,hpf_ca1__202500_007_edited.swc,pyramidal,37389,0.9927,0.9366
neurom_rf,hpf_ca1__202501_020_edited.swc,pyramidal,22879,0.9960,0.9732
neurom_rf,hpf_ca1__202501_022_edited.swc,pyramidal,36094,0.9603,0.6600
neurom_rf,hpf_ca1__202501_023_edited.swc,pyramidal,31532,0.8679,0.6451
neurom_rf,hpf_ca1__202503_023_edited.swc,pyramidal,41023,0.9848,0.8846
neurom_rf,hpf_ca1__202503_026_edited.swc,pyramidal,42746,0.9831,0.8970
neurom_rf,hpf_ca1__202506_039_edited.swc,pyramidal,66475,0.9952,0.9345
neurom_rf,hpf_ca1__202544_017_edited.swc,pyramidal,51004,0.9854,0.8720
neurom_rf,hpf_ca1__202544_027_edited.swc,pyramidal,99432,0.9890,0.8630
neurom_rf,hpf_ca1__202548_039_edited.swc,pyramidal,57216,0.9856,0.9065
neurom_rf,hpf_ca1__202567_001_edited.swc,pyramidal,16442,0.9305,0.7860
neurom_rf,hpf_ca1__202567_005_edited.swc,pyramidal,24360,0.9578,0.8467
