name,n_nodes,predicted_cell_type,stage1_correct,neurite_macro_f1,macro_f1,accuracy,n_apical_gt,n_basal_gt,n_axon_gt
allen__H17.03.008.11.03.04_595568262.swc,7386,interneuron,True,1.0,1.0,1.0,0,442,6943
allen__H17.03.008.11.03.05_595570553.swc,21271,interneuron,True,0.8681,0.912,0.9481,0,2773,18497
allen__H17.03.009.11.11.01_596887423.swc,8499,interneuron,True,1.0,1.0,1.0,0,2622,5876
allen__H17.03.009.11.11.09_613468354.swc,7095,interneuron,True,1.0,1.0,1.0,0,1706,5388
allen__H17.03.010.11.13.01_601927090.swc,1497,interneuron,True,0.6736,0.7824,0.674,0,1008,488
allen__H17.03.013.11.08.04_637038252.swc,6827,interneuron,True,1.0,1.0,1.0,0,1266,5560
allen__H17.06.003.11.03.03_614651270.swc,30285,interneuron,True,0.9576,0.9718,0.9737,0,6220,24064
allen__H17.06.003.11.05.04_567742660.swc,33040,interneuron,True,1.0,1.0,1.0,0,5702,27337
allen__H17.06.005.12.10.04_571435969.swc,2967,pyramidal,False,0.7143,0.8095,0.7182,0,1728,1238
allen__H17.06.005.12.12.03_571525618.swc,8146,interneuron,True,0.8056,0.8704,0.8887,0,1864,6281
allen__H17.06.005.12.15.01_571427524.swc,29538,interneuron,True,1.0,1.0,1.0,0,2080,27457
allen__H17.06.006.11.08.08_571718621.swc,12213,interneuron,True,1.0,1.0,1.0,0,2434,9778
allen__H17.06.006.11.09.05_571700636.swc,27733,interneuron,True,0.8766,0.9177,0.9566,0,3302,24430
allen__H17.06.006.11.10.03_571659461.swc,8684,interneuron,True,0.9444,0.9629,0.9577,0,2400,6283
allen__H17.06.007.11.05.04_576120017.swc,13758,interneuron,True,1.0,1.0,1.0,0,5056,8701
allen__H17.06.007.11.06.01_576084692.swc,16559,interneuron,True,0.864,0.9093,0.9594,0,1680,14878
allen__H17.06.007.11.08.01_576095991.swc,3551,pyramidal,False,1.0,1.0,1.0,0,3449,101
allen__H17.06.009.11.04.01_595999306.swc,3554,interneuron,True,1.0,1.0,1.0,0,1489,2064
allen__H17.06.009.11.04.02_596020931.swc,43035,interneuron,True,1.0,1.0,1.0,0,3424,39610
allen__H17.06.009.11.04.03_596028822.swc,7561,interneuron,True,1.0,1.0,1.0,0,652,6908
allen__H17.06.009.11.04.04_596036453.swc,8523,interneuron,True,1.0,1.0,1.0,0,1806,6716
allen__H17.06.012.14.08.03_611598198.swc,4956,interneuron,True,1.0,1.0,1.0,0,221,4734
allen__H17.06.012.14.08.05_611610514.swc,26630,interneuron,True,0.9211,0.9474,0.9625,0,4172,22457
allen__H17.06.012.14.08.07_611623402.swc,10743,interneuron,True,1.0,1.0,1.0,0,3699,7043
allen__H17.06.013.12.03.01_643572206.swc,4016,interneuron,True,1.0,1.0,1.0,0,598,3417
allen__H17.06.013.12.03.02_643575207.swc,17642,interneuron,True,1.0,1.0,1.0,0,3407,14234
allen__H17.06.013.12.03.03_643582610.swc,13995,interneuron,True,0.9506,0.967,0.9789,0,1845,12149
allen__Htr3a-Cre_NO152_Ai14-175482.03.02.01_327962063.swc,3828,pyramidal,False,0.9098,0.9399,0.9099,0,1787,2040
allen__Htr3a-Cre_NO152_Ai14-182004.05.02.01_474626527.swc,9011,interneuron,True,0.9678,0.9786,0.9865,0,1138,7872
allen__Htr3a-Cre_NO152_Ai14-182494.05.01.01_473943881.swc,14896,interneuron,True,1.0,1.0,1.0,0,2107,12788
allen__Htr3a-Cre_NO152_Ai14-185347.03.02.01_475585413.swc,7981,interneuron,True,1.0,1.0,1.0,0,1281,6699
allen__Htr3a-Cre_NO152_Ai14-185555.05.01.01_475623964.swc,7986,interneuron,True,0.8745,0.9164,0.9164,0,2022,5963
allen__Htr3a-Cre_NO152_Ai14-191534.04.01.01_477880128.swc,5444,interneuron,True,0.729,0.8193,0.7294,0,2089,3354
allen__Htr3a-Cre_NO152_Ai14-192821.05.01.01_478110866.swc,10362,interneuron,True,0.6947,0.7965,0.6948,0,3599,6762
allen__Htr3a-Cre_NO152_Ai14-200434.06.02.01_481136138.swc,11290,interneuron,True,1.0,1.0,1.0,0,2214,9075
allen__Htr3a-Cre_NO152_Ai14-209863.05.01.01_487099387.swc,4834,interneuron,True,0.853,0.902,0.9185,0,1001,3832
allen__Htr3a-Cre_NO152_Ai14-241983.05.02.01_514824979.swc,7355,interneuron,True,0.8621,0.9081,0.884,0,2639,4715
allen__Htr3a-Cre_NO152_Ai14-246125.05.02.01_519749342.swc,9821,interneuron,True,0.8418,0.8945,0.8476,0,4720,5100
allen__Htr3a-Cre_NO152_Ai14-276428.05.01.01_555345752.swc,28351,interneuron,True,1.0,1.0,1.0,0,2196,26154
allen__Htr3a-Cre_NO152_Ai14-286731.04.02.01_561553133.swc,2808,interneuron,True,1.0,1.0,1.0,0,2530,277
allen__Htr3a-Cre_NO152_Ai14-286736.05.01.01_561532710.swc,8835,interneuron,True,1.0,1.0,1.0,0,2715,6119
allen__Htr3a-Cre_NO152_Ai14-288785.03.02.01_561985849.swc,14318,interneuron,True,1.0,1.0,1.0,0,2848,11469
allen__Htr3a-Cre_NO152_Ai14-292836.03.01.01_565209132.swc,9505,interneuron,True,0.8546,0.903,0.9185,0,1990,7514
allen__Htr3a-Cre_NO152_Ai14-306203.03.02.01_574993444.swc,13855,interneuron,True,1.0,1.0,1.0,0,2150,11704
allen__Htr3a-Cre_NO152_Ai14-308439.03.01.01_578485753.swc,12986,interneuron,True,1.0,1.0,1.0,0,1348,11637
allen__Htr3a-Cre_NO152_Ai14-314467.03.02.01_584872371.swc,3567,interneuron,True,0.277,0.518,0.3832,0,1366,2200
allen__Htr3a-Cre_NO152_Pvalb-T2A-Dre_Ai66-304920.02.02.01_580162374.swc,19466,interneuron,True,0.8953,0.9302,0.953,0,2966,16499
allen__Htr3a-Cre_NO152_Pvalb-T2A-Dre_Ai66-304920.03.02.01_580161872.swc,15948,interneuron,True,1.0,1.0,1.0,0,1793,14154
allen__Htr3a-Cre_NO152_Pvalb-T2A-Dre_Ai66-313949.04.02.01_586379590.swc,15218,interneuron,True,1.0,1.0,1.0,0,2891,12326
allen__Ndnf-IRES2-dgCre_Ai14-255259.03.02.01_526531616.swc,16517,interneuron,True,1.0,1.0,1.0,0,1240,15276
allen__Ndnf-IRES2-dgCre_Ai14-255261.05.02.01_527095729.swc,12018,interneuron,True,0.8595,0.9063,0.9138,0,1755,10262
allen__Ndnf-IRES2-dgCre_Ai14-256187.05.02.01_527869035.swc,7952,interneuron,True,0.6056,0.7371,0.6209,0,1687,6264
allen__Ndnf-IRES2-dgCre_Ai14-262467.04.01.01_539014038.swc,13849,interneuron,True,0.8879,0.9252,0.9445,0,2389,11459
allen__Ndnf-IRES2-dgCre_Ai14-262472.03.02.01_536951541.swc,13460,interneuron,True,1.0,1.0,1.0,0,1852,11607
allen__Ndnf-IRES2-dgCre_Ai14-262475.04.02.01_536306115.swc,11251,interneuron,True,1.0,1.0,1.0,0,2160,9090
allen__Ndnf-IRES2-dgCre_Ai14-278510.05.01.01_555089724.swc,10148,interneuron,True,1.0,1.0,1.0,0,661,9486
allen__Ndnf-IRES2-dgCre_Ai14-278511.05.01.01_555697303.swc,12432,interneuron,True,1.0,1.0,1.0,0,2101,10330
allen__Ndnf-IRES2-dgCre_Ai14-280611.04.02.02_556923554.swc,8303,interneuron,True,0.8767,0.9178,0.9305,0,1697,6605
allen__Ndnf-IRES2-dgCre_Ai14-290382.04.01.01_562632795.swc,13035,interneuron,True,0.8566,0.9044,0.9526,0,1494,11540
allen__Ndnf-IRES2-dgCre_Ai14-292670.04.02.01_565120091.swc,18807,interneuron,True,1.0,1.0,1.0,0,2758,16048
allen__Ndnf-IRES2-dgCre_Ai14-292673.04.02.01_564349611.swc,15659,interneuron,True,0.8287,0.8858,0.9594,0,1309,14349
allen__Ndnf-IRES2-dgCre_Ai14-292673.05.01.01_564346637.swc,19022,interneuron,True,1.0,1.0,1.0,0,2518,16503
allen__Ndnf-IRES2-dgCre_Ai14-298343.05.02.02_569494755.swc,9196,interneuron,True,0.7602,0.8402,0.9,0,1548,7647
allen__Ndnf-IRES2-dgCre_Ai14-306261.05.02.01_574734127.swc,15926,interneuron,True,0.8531,0.902,0.9276,0,2868,13057
allen__Ndnf-IRES2-dgCre_Ai14-311164.05.01.01_579626068.swc,17629,interneuron,True,0.9593,0.9729,0.9848,0,1972,15656
allen__Nkx2-1-CreERT2_Ai14(BT)-278735.06.02.01_554779051.swc,13181,interneuron,True,0.9462,0.9642,0.9769,0,1762,11418
allen__Nkx2-1-CreERT2_Ai14(BT)-278735.06.02.02_554807924.swc,8488,interneuron,True,0.9355,0.957,0.9564,0,2011,6476
allen__Nkx2-1-CreERT2_Ai14_(IVSCC)-286572.01.02.01_561517025.swc,16497,interneuron,True,1.0,1.0,1.0,0,2610,13886
allen__Nkx2-1-CreERT2_Ai14_(IVSCC)-286577.03.01.01_561325425.swc,10594,interneuron,True,1.0,1.0,1.0,0,1514,9079
allen__Nkx2-1-CreERT2_Ai14_(IVSCC)-294488.04.02.01_567029686.swc,14791,interneuron,True,0.8638,0.9092,0.9524,0,1783,13007
allen__Nkx2-1-CreERT2_Ai14_(IVSCC)-294490.02.02.01_566678900.swc,14290,interneuron,True,0.9354,0.9569,0.9847,0,1014,13275
allen__Nkx2-1-CreERT2_Ai14_(IVSCC)-294491.03.01.01_566541912.swc,15864,interneuron,True,1.0,1.0,1.0,0,981,14882
allen__Nos1-CreERT2_Ai14(BT)-251975.06.01.01_523748610.swc,16182,interneuron,True,1.0,1.0,1.0,0,1124,15057
allen__Nos1-CreERT2_Ai14(BT)-260226.05.02.01_530731648.swc,15537,interneuron,True,1.0,1.0,1.0,0,2580,12956
allen__Nos1-CreERT2_Ai14(BT)-285362.04.01.01_560965993.swc,10609,interneuron,True,1.0,1.0,1.0,0,1495,9113
allen__Nos1-CreERT2_Sst-IRES-FlpO_Ai65-243223.02.01.01_517345160.swc,9710,interneuron,True,1.0,1.0,1.0,0,2911,6798
allen__Nos1-CreERT2_Sst-IRES-FlpO_Ai65-271574.05.02.01_547344442.swc,28850,interneuron,True,1.0,1.0,1.0,0,3111,25738
allen__Nos1-CreERT2_Sst-IRES-FlpO_Ai65-271577.05.02.01_547262585.swc,12546,interneuron,True,0.6847,0.7898,0.8902,0,1898,10647
allen__Nos1-CreERT2_Sst-IRES-FlpO_Ai65-302592.03.01.01_573622646.swc,23539,interneuron,True,0.8741,0.9161,0.9628,0,2330,21208
allen__Nos1-CreERT2_Sst-IRES-FlpO_Ai65-304714.03.01.01_574036994.swc,7762,interneuron,True,0.8906,0.927,0.8981,0,3259,4502
allen__Nos1-CreERT2_Sst-IRES-FlpO_Ai65-315002.04.01.01_586566174.swc,16226,interneuron,True,1.0,1.0,1.0,0,3050,13175
allen__Nos1-CreERT2_Sst-IRES-FlpO_Ai65-323427.03.02.01_592952680.swc,14186,interneuron,True,0.9063,0.9376,0.9589,0,2071,12114
allen__Nos1-CreERT2_Sst-IRES-FlpO_Ai65-346512.05.02.01_623185845.swc,6831,interneuron,True,1.0,1.0,1.0,0,3962,2868
allen__Oxtr-2A-Cre_Ai14-293837.04.02.01_565866518.swc,15202,interneuron,True,1.0,1.0,1.0,0,2246,12955
allen__Oxtr-2A-Cre_Ai14-293837.05.01.01_565855793.swc,13143,interneuron,True,0.9077,0.9385,0.9461,0,2691,10451
allen__Oxtr-2A-Cre_Ai14-293837.06.02.01_565888394.swc,12572,interneuron,True,1.0,1.0,1.0,0,2124,10447
allen__Oxtr-2A-Cre_Ai14-293839.02.02.02_565415071.swc,20203,interneuron,True,0.7699,0.8466,0.9358,0,2173,18029
allen__Oxtr-2A-Cre_Ai14-293839.06.01.01_565417112.swc,17268,interneuron,True,1.0,1.0,1.0,0,1557,15710
allen__Oxtr-2A-Cre_Ai14-293841.03.01.01_565459685.swc,32894,interneuron,True,0.8658,0.9105,0.9711,0,2357,30536
allen__Oxtr-2A-Cre_Ai14-293841.05.02.01_565462089.swc,16822,interneuron,True,0.9002,0.9334,0.9662,0,1856,14965
allen__Oxtr-T2A-Cre_Ai14-314785.03.01.02_584231995.swc,8969,interneuron,True,0.7827,0.8551,0.8654,0,2321,6647
allen__Pvalb-IRES-Cre_Ai14-165171.03.01.01_313862373.swc,14229,interneuron,True,1.0,1.0,1.0,0,2601,11627
allen__Pvalb-IRES-Cre_Ai14-172101.05.02.01_321708130.swc,9695,interneuron,True,0.6807,0.7871,0.7102,0,1970,7724
allen__Pvalb-IRES-Cre_Ai14-176848.03.01.01_333604946.swc,6772,interneuron,True,0.8278,0.8852,0.8847,0,1831,4940
allen__Pvalb-IRES-Cre_Ai14-177452.03.02.01_396608557.swc,9224,interneuron,True,1.0,1.0,1.0,0,1334,7889
allen__Pvalb-IRES-Cre_Ai14-178310.02.01.01_341442651.swc,11143,interneuron,True,1.0,1.0,1.0,0,2222,8920
allen__Pvalb-IRES-Cre_Ai14-180633.03.02.01_471077468.swc,5605,interneuron,True,1.0,1.0,1.0,0,2017,3587
allen__Pvalb-IRES-Cre_Ai14-180634.04.01.01_471087830.swc,8225,interneuron,True,1.0,1.0,1.0,0,1465,6759
allen__Pvalb-IRES-Cre_Ai14-185361.06.02.01_475549284.swc,15555,interneuron,True,1.0,1.0,1.0,0,2139,13415
allen__Pvalb-IRES-Cre_Ai14-191322.04.02.01_478058328.swc,7706,interneuron,True,1.0,1.0,1.0,0,1510,6195
allen__Pvalb-IRES-Cre_Ai14-202470.03.02.01_485184849.swc,11313,interneuron,True,0.8429,0.8953,0.9228,0,2058,9254
allen__Pvalb-IRES-Cre_Ai14-209764.03.02.01_486896849.swc,22715,interneuron,True,0.9382,0.9588,0.9754,0,2828,19886
allen__Pvalb-IRES-Cre_Ai14-236448.04.01.01_509617624.swc,9148,interneuron,True,0.8923,0.9282,0.9473,0,1546,7601
allen__Pvalb-IRES-Cre_Ai14-238302.06.01.01_510715606.swc,8115,interneuron,True,1.0,1.0,1.0,0,2320,5794
allen__Pvalb-IRES-Cre_Ai14-299135.03.02.01_569723405.swc,17324,interneuron,True,1.0,1.0,1.0,0,2305,15018
allen__Pvalb-IRES-Cre_Ai14-299135.05.01.01_569723367.swc,20837,interneuron,True,1.0,1.0,1.0,0,1847,18989
allen__Pvalb-IRES-Cre_Ai14-299333.03.01.01_569998790.swc,13416,interneuron,True,1.0,1.0,1.0,0,2682,10733
allen__Pvalb-IRES-Cre_Ai14-299335.05.01.01_570946690.swc,10667,interneuron,True,1.0,1.0,1.0,0,2343,8323
allen__Pvalb-IRES-Cre_Ai14-299810.02.01.01_571396942.swc,15667,interneuron,True,1.0,1.0,1.0,0,1478,14188
allen__Pvalb-IRES-Cre_Ai14-301430.02.02.01_571867358.swc,14702,interneuron,True,0.9147,0.9431,0.9608,0,2237,12464
allen__Pvalb-IRES-Cre_Ai14-301947.03.01.01_574067499.swc,14692,interneuron,True,1.0,1.0,1.0,0,1876,12815
allen__Pvalb-IRES-Cre_Ai14-304103.03.02.01_574377552.swc,9802,interneuron,True,1.0,1.0,1.0,0,2097,7704
allen__Pvalb-IRES-Cre_Ai14-305768.04.02.01_574992320.swc,15264,interneuron,True,1.0,1.0,1.0,0,2299,12964
allen__Pvalb-IRES-Cre_Ai14-321032.02.02.01_591278744.swc,13206,interneuron,True,1.0,1.0,1.0,0,1702,11503
allen__Pvalb-IRES-Cre_Ai14-321032.03.02.01_591268268.swc,13631,interneuron,True,1.0,1.0,1.0,0,1406,12224
allen__Rorb-IRES2-Cre-D_Ai14-212869.04.02.01_488504814.swc,4673,interneuron,True,1.0,1.0,1.0,0,2070,2602
allen__Sst-IRES-Cre_Ai14-172534.04.02.01_323452196.swc,7264,interneuron,True,0.6311,0.7541,0.7671,0,581,6682
allen__Sst-IRES-Cre_Ai14-173191.06.02.01_324266189.swc,15830,interneuron,True,1.0,1.0,1.0,0,1402,14427
allen__Sst-IRES-Cre_Ai14-173196.03.01.01_324493977.swc,13302,interneuron,True,1.0,1.0,1.0,0,2691,10610
allen__Sst-IRES-Cre_Ai14-182533.03.01.01_473540161.swc,15700,interneuron,True,1.0,1.0,1.0,0,1934,13765
