path,rel_path,cell_type,source,n_bytes,parseable,non_empty,has_soma,single_root,no_orphan,has_neurites,radius_positive,coords_finite,reasonable_size,n_nodes,n_soma,n_axon,n_basal,n_apical,n_other,n_roots,n_orphan,n_custom_type_nodes_raw,custom_type_values_raw,n_soma_raw,n_soma_groups,n_soma_nodes_removed,n_nodes_raw,qc_pass,qc_reason
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202249_015_edited.swc,pyramidal/swc/hpf_ca1__202249_015_edited.swc,pyramidal,hpf_ca1,1928250,True,True,True,True,True,True,True,True,True,33834,1,31929,1477,427,0,1,0,1,10:1,1,1,0,33834,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202249_016_edited.swc,pyramidal/swc/hpf_ca1__202249_016_edited.swc,pyramidal,hpf_ca1,1976132,True,True,True,True,True,True,True,True,True,34660,1,32381,1074,1204,0,1,0,11,10:11,1,1,0,34660,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202249_017_edited.swc,pyramidal/swc/hpf_ca1__202249_017_edited.swc,pyramidal,hpf_ca1,1438788,True,True,True,True,True,True,True,True,True,25345,1,22849,746,1749,0,1,0,5,10:5,1,1,0,25345,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202249_020_edited.swc,pyramidal/swc/hpf_ca1__202249_020_edited.swc,pyramidal,hpf_ca1,748337,True,True,True,True,True,True,True,True,True,13358,1,12427,930,0,0,1,0,0,,1,1,0,13358,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202249_047_edited.swc,pyramidal/swc/hpf_ca1__202249_047_edited.swc,pyramidal,hpf_ca1,1127641,True,True,True,True,True,True,True,True,True,19943,1,18443,1499,0,0,1,0,2,10:2,1,1,0,19943,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202249_049_edited.swc,pyramidal/swc/hpf_ca1__202249_049_edited.swc,pyramidal,hpf_ca1,145195,True,True,True,True,True,True,True,True,True,2641,1,2554,86,0,0,1,0,0,,1,1,0,2641,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202250_001_edited.swc,pyramidal/swc/hpf_ca1__202250_001_edited.swc,pyramidal,hpf_ca1,1618803,True,True,True,True,True,True,True,True,True,28466,1,25922,869,1674,0,1,0,0,,1,1,0,28466,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202250_003_edited.swc,pyramidal/swc/hpf_ca1__202250_003_edited.swc,pyramidal,hpf_ca1,664040,True,True,True,True,True,True,True,True,True,11898,1,9645,873,1379,0,1,0,0,,1,1,0,11898,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202250_004_edited.swc,pyramidal/swc/hpf_ca1__202250_004_edited.swc,pyramidal,hpf_ca1,1737903,True,True,True,True,True,True,True,True,True,30531,1,28088,1060,1382,0,1,0,0,,1,1,0,30531,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202250_007_edited.swc,pyramidal/swc/hpf_ca1__202250_007_edited.swc,pyramidal,hpf_ca1,905249,True,True,True,True,True,True,True,True,True,16084,1,11878,1815,2390,0,1,0,2,10:2,1,1,0,16084,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202250_018_edited.swc,pyramidal/swc/hpf_ca1__202250_018_edited.swc,pyramidal,hpf_ca1,2170254,True,True,True,True,True,True,True,True,True,38028,1,35154,2873,0,0,1,0,1,10:1,1,1,0,38028,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202250_019_edited.swc,pyramidal/swc/hpf_ca1__202250_019_edited.swc,pyramidal,hpf_ca1,248111,True,True,True,True,True,True,True,True,True,4493,1,2557,716,1219,0,1,0,1,10:1,1,1,0,4493,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202251_031_edited.swc,pyramidal/swc/hpf_ca1__202251_031_edited.swc,pyramidal,hpf_ca1,841674,True,True,True,True,True,True,True,True,True,14983,1,13540,1442,0,0,1,0,0,,1,1,0,14983,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__202251_032_edited.swc,pyramidal/swc/hpf_ca1__202251_032_edited.swc,pyramidal,hpf_ca1,762899,True,True,True,True,True,True,True,True,True,13612,1,11542,392,1677,0,1,0,0,,1,1,0,13612,True,
