family,scope,experiment,target,target_recall_setting,model,feature_set,precision,recall,flagged_total,actually_bad_flagged_tp,false_flags_fp,missed_bad_fn,bad_total_in_test,accuracy,kept_f1_p10,saved_bundle,source
3 + sanity/failure-head sweep,all,single_failure_head_ranked_against_cell_f060,basal_f060,0.95,hgb,numeric_only,0.1276595744680851,1.0,329,42,287,0,42,0.4033264033264033,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,all,single_failure_head_ranked_against_cell_f060,basal_f060,0.95,hgb,no_lab,0.1246200607902735,0.9761904761904762,329,41,288,1,42,0.3991683991683992,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,all,two_stage_max_failure_heads,cell_f060+axon_f050+basal_f060+apical_f050,0.95,two_stage,max_validation_percentile,0.1673640167364016,0.9523809523809524,239,40,199,2,42,0.5821205821205822,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,all,two_stage_max_failure_heads,cell_f060+axon_f050+basal_f060+apical_f050,0.95,two_stage,max_validation_percentile,0.2191011235955056,0.9285714285714286,178,39,139,3,42,0.7047817047817048,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,interneuron,single_cell_f060,cell_f060,0.5,hgb,full,0.1111111111111111,0.1428571428571428,9,1,8,6,7,0.8939393939393939,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,interneuron,single_cell_f060,cell_f060,0.5,hgb,full,0.125,0.1428571428571428,8,1,7,6,7,0.9015151515151516,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,interneuron,single_failure_head_ranked_against_cell_f060,axon_f050,0.5,extra_trees,numeric_only,0.1,0.1428571428571428,10,1,9,6,7,0.8863636363636364,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,interneuron,single_failure_head_ranked_against_cell_f060,axon_f050,0.5,extra_trees,full,0.125,0.1428571428571428,8,1,7,6,7,0.9015151515151516,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,interneuron,single_failure_head_ranked_against_cell_f060,basal_f060,0.5,rf,no_lab,0.25,0.4285714285714285,12,3,9,4,7,0.9015151515151516,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,interneuron,single_failure_head_ranked_against_cell_f060,basal_f060,0.5,rf,numeric_only,0.1818181818181818,0.2857142857142857,11,2,9,5,7,0.8939393939393939,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,interneuron,two_stage_max_failure_heads,cell_f060+axon_f050+basal_f060,0.5,two_stage,max_validation_percentile,0.0,0.0,2,0,2,7,7,0.9318181818181818,0.99995,,paper/results/flag_improvement_sweep_seed123_branch3.csv
