file,xmodel_v12ens_seed42_axon_frac,xmodel_v12ens_seed42_basal_frac,xmodel_v12ens_seed42_apical_frac,xmodel_v12ens_seed42_class_count,xmodel_v12ens_seed42_v12_l1_frac_delta,xmodel_v12ens_seed42_v12_apical_frac_delta,xmodel_v12ens_seed42_v12_axon_frac_delta,xmodel_v12ens_seed42_v12_apical_zero_mismatch,xmodel_v12ens_seed42_v12_axon_zero_mismatch,xmodel_v12ens_seed42_stage1_is_pyramidal,xmodel_v12ens_seed42_stage1_disagree,xmodel_v12ens_seed42_stage1_conf,xmodel_v12ens_seed789_axon_frac,xmodel_v12ens_seed789_basal_frac,xmodel_v12ens_seed789_apical_frac,xmodel_v12ens_seed789_class_count,xmodel_v12ens_seed789_v12_l1_frac_delta,xmodel_v12ens_seed789_v12_apical_frac_delta,xmodel_v12ens_seed789_v12_axon_frac_delta,xmodel_v12ens_seed789_v12_apical_zero_mismatch,xmodel_v12ens_seed789_v12_axon_zero_mismatch,xmodel_v12ens_seed789_stage1_is_pyramidal,xmodel_v12ens_seed789_stage1_disagree,xmodel_v12ens_seed789_stage1_conf,xmodel_v12ens_l1_mean,xmodel_v12ens_l1_max,xmodel_v12ens_l1_std,xmodel_v12ens_apical_delta_mean,xmodel_v12ens_apical_delta_max,xmodel_v12ens_axon_delta_mean,xmodel_v12ens_axon_delta_max,xmodel_v12ens_apical_present_vote_frac,xmodel_v12ens_axon_present_vote_frac,xmodel_v12ens_apical_presence_disagreement,xmodel_v12ens_axon_presence_disagreement,xmodel_v12ens_class_count_mean,xmodel_v12ens_class_count_std,xmodel_v12ens_stage1_pyramidal_vote_frac,xmodel_v12ens_stage1_disagree_mean,xmodel_v12ens_stage1_conf_mean,xmodel_v12ens_stage1_conf_min,xmodel_v12ens_interseed_l1,xmodel_v12ens_interseed_apical_delta,xmodel_v12ens_interseed_axon_delta
allen__H17.06.013.12.03.01_643572206.swc,0.8510585305105853,0.1489414694894147,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8221254348754883,0.8510585305105853,0.1489414694894147,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7556551098823547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.7888902723789215,0.7556551098823547,0.0,0.0,0.0
allen__H17.06.013.12.03.02_643575207.swc,0.8068703588231959,0.19312964117680403,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8594071865081787,0.8068703588231959,0.19312964117680403,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8637051582336426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.8615561723709106,0.8594071865081787,0.0,0.0,0.0
allen__Htr3a-Cre_NO152_Ai14-288785.03.02.01_561985849.swc,0.8010756443388978,0.1989243556611022,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9954362511634827,0.8010756443388978,0.1989243556611022,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9885836243629456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.9920099377632141,0.9885836243629456,0.0,0.0,0.0
allen__Ndnf-IRES2-dgCre_Ai14-292673.05.01.01_564346637.swc,0.8676199989485306,0.13238000105146944,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9964864253997803,0.8676199989485306,0.13238000105146944,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9901382923126221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.9933123588562012,0.9901382923126221,0.0,0.0,0.0
allen__Nkx2-1-CreERT2_Ai14_(IVSCC)-294491.03.01.01_566541912.swc,0.9381579776839185,0.06184202231608145,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9897796511650085,0.9381579776839185,0.06184202231608145,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9825818538665771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.9861807525157928,0.9825818538665771,0.0,0.0,0.0
allen__Nos1-CreERT2_Sst-IRES-FlpO_Ai65-271577.05.02.01_547262585.swc,0.8487046632124352,0.15129533678756477,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9916900396347046,0.8487046632124352,0.15129533678756477,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9853280782699585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.9885090589523315,0.9853280782699585,0.0,0.0,0.0
allen__Oxtr-2A-Cre_Ai14-293839.02.02.02_565415071.swc,0.8968418968418969,0.10315810315810316,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9970591068267822,0.9051084051084051,0.09489159489159489,0.0,2.0,0.016533016533016476,0.0,0.00826650826650821,0.0,0.0,0.0,0.0,0.9905762672424316,0.008266508266508238,0.016533016533016476,0.008266508266508238,0.0,0.0,0.004133254133254105,0.00826650826650821,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.9938176870346069,0.9905762672424316,0.016533016533016476,0.0,0.00826650826650821
allen__Oxtr-2A-Cre_Ai14-293839.06.01.01_565417112.swc,0.9098279955985406,0.09017200440145944,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9881821870803833,0.9098279955985406,0.09017200440145944,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9747214913368225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.9814518392086029,0.9747214913368225,0.0,0.0,0.0
allen__Oxtr-2A-Cre_Ai14-293841.05.02.01_565462089.swc,0.8897211818560133,0.11027881814398668,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9933194518089294,0.8897211818560133,0.11027881814398668,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9840447306632996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.9886820912361145,0.9840447306632996,0.0,0.0,0.0
allen__Oxtr-T2A-Cre_Ai14-314785.03.01.02_584231995.swc,0.7710749330954505,0.2289250669045495,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9797003269195557,0.7710749330954505,0.2289250669045495,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9723403453826904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.976020336151123,0.9723403453826904,0.0,0.0,0.0
