scope,feature_mode,operating_point,target_value,n_folds,precision_lt_target_mean,precision_lt_target_sd,recall_lt_target_mean,recall_lt_target_sd,binary_accuracy_mean,binary_accuracy_sd,reject_rate_mean,reject_rate_sd,n_rejected_mean,n_rejected_sd,tp_mean,tp_sd,fp_mean,fp_sd,fn_mean,fn_sd,kept_f1_p10_mean,kept_f1_p10_sd,test_ap_mean,test_ap_sd,test_auc_mean,test_auc_sd
interneuron,branch3,validation_recall,0.8,3,0.1380308476486459,0.04925898649728728,0.7726649799704828,0.1968264748285629,0.7484519222418765,0.10790227378398873,0.2752161293713805,0.12429981548952644,182.66666666666666,81.30395644329576,22.666666666666668,6.027713773341707,160.0,76.73982017179868,7.0,6.244997998398398,1.0,0.0,0.236933791681483,0.09514504217091123,0.8335090422518299,0.017066692717388268
interneuron,branch3,validation_recall,0.9,3,0.08923380338427506,0.03454658633207374,0.8833280624077587,0.06534506019031158,0.5651210114223812,0.1225177530270746,0.46843693008076565,0.12077775885665183,312.3333333333333,82.03251387915242,26.0,3.0,286.3333333333333,85.03136676152708,3.6666666666666665,2.3094010767585034,1.0,0.0,0.236933791681483,0.09514504217091123,0.8335090422518299,0.017066692717388268
interneuron,compact,fixed_reject_rate,0.05,3,0.2590612002376708,0.10140602563608016,0.2867119966266076,0.09139088437100906,0.9313690859809581,0.007121297326158497,0.05000000000000001,8.498374721940739e-18,33.333333333333336,0.5773502691896258,8.666666666666666,3.511884584284246,24.666666666666668,3.0550504633038935,21.0,3.4641016151377544,1.0,0.0,0.23631706527152133,0.09171941444454176,0.8345644338065402,0.01539320098554713
interneuron,compact,fixed_reject_rate,0.1,3,0.19888968703718488,0.04452012983878923,0.44818680160236135,0.058890723673065117,0.8948483643460813,0.005316371276817736,0.10000000000000002,1.6996749443881478e-17,67.0,1.0,13.333333333333334,3.055050463303893,53.666666666666664,2.8867513459481287,16.333333333333332,3.2145502536643185,1.0,0.0,0.23631706527152133,0.09171941444454176,0.8345644338065402,0.01539320098554713
interneuron,compact,fixed_reject_rate,0.15,3,0.16667933460012666,0.04047012393286253,0.5572422517394054,0.056468220519894884,0.855331313048208,0.005445802781491141,0.15,0.0,100.0,1.0,16.666666666666668,4.041451884327381,83.33333333333333,4.163331998932265,13.0,1.7320508075688772,1.0,0.0,0.23631706527152133,0.09171941444454176,0.8345644338065402,0.01539320098554713
interneuron,compact,validation_recall,0.5,3,0.2340478597910347,0.08186103045694285,0.29174573055028463,0.11269274625914677,0.9244562370589767,0.007044723351484745,0.05692148769774341,0.016439609412664383,38.0,11.357816691600547,8.666666666666666,3.7859388972001824,29.333333333333332,10.016652800877813,21.0,5.196152422706632,0.9999366666666667,0.00010969655114604246,0.23631706527152133,0.09171941444454176,0.8345644338065402,0.01539320098554713
interneuron,compact,validation_recall,0.7,3,0.15799625063090347,0.06807360141005901,0.7063567362428843,0.17259535328562398,0.7905315361023124,0.09432581069102969,0.2281448571859531,0.11005593297710134,151.33333333333334,71.80761333823408,21.0,7.0,130.33333333333334,67.03978918025723,8.666666666666666,5.507570547286102,1.0,0.0,0.23631706527152133,0.09171941444454176,0.8345644338065402,0.01539320098554713
interneuron,compact,validation_recall,0.8,3,0.13724408839351368,0.05450664412027106,0.7726649799704828,0.1968264748285629,0.7399915897632793,0.12122489174002682,0.2836764618499778,0.13646703765525003,188.33333333333334,89.75707957221722,22.666666666666668,6.027713773341707,165.66666666666666,86.00775158864073,7.0,6.244997998398398,1.0,0.0,0.23631706527152133,0.09171941444454176,0.8345644338065402,0.01539320098554713
interneuron,compact,validation_recall,0.9,3,0.08617735505562824,0.03571182849059892,0.8931319839763864,0.060535903283244166,0.5360030349984688,0.1509108037310903,0.4985696198481586,0.14824543240177146,332.3333333333333,99.7714053891862,26.333333333333332,3.5118845842842465,306.0,103.18430113151904,3.3333333333333335,2.081665999466133,1.0,0.0,0.23631706527152133,0.09171941444454176,0.8345644338065402,0.01539320098554713
interneuron,v12_oof,fixed_reject_rate,0.05,3,0.3496732026143791,0.09521258737311124,0.3881509593084546,0.04762490543030319,0.9404333100223511,0.0019002813953497232,0.05000000000000001,8.498374721940739e-18,33.333333333333336,0.5773502691896258,11.666666666666666,3.214550253664318,21.666666666666668,3.0550504633038935,18.0,2.0,1.0,0.0,0.3115912900440528,0.09944019957079929,0.8418228732857899,0.03444665547382474
interneuron,v12_oof,fixed_reject_rate,0.1,3,0.2286717038692456,0.05883443492845843,0.5139415981446342,0.0859220487862356,0.9008417549970061,0.007610696391757463,0.10000000000000002,1.6996749443881478e-17,67.0,1.0,15.333333333333334,4.041451884327381,51.666666666666664,3.785938897200183,14.333333333333334,3.214550253664318,1.0,0.0,0.3115912900440528,0.09944019957079929,0.8418228732857899,0.03444665547382474
