name,n_nodes,predicted_cell_type,stage1_correct,neurite_macro_f1,macro_f1,accuracy,n_apical_gt,n_basal_gt,n_axon_gt
allen__H16.06.013.11.16.02_561435279.swc,7806,pyramidal,True,0.5169,0.6376,0.6304,2885,1767,3153
allen__H16.06.013.11.18.02_562381210.swc,12280,pyramidal,True,0.5105,0.6329,0.7138,3514,1994,6771
allen__H17.03.002.11.03.01_569820130.swc,8509,pyramidal,True,1.0,1.0,1.0,2879,1595,4034
allen__H17.03.002.11.04.01_569818704.swc,8351,pyramidal,True,0.2492,0.4369,0.3449,3528,2879,1943
allen__H17.03.002.11.04.02_569820026.swc,3806,pyramidal,True,0.2358,0.4268,0.1997,2418,759,628
allen__H17.03.002.11.04.04_569844159.swc,5107,pyramidal,True,0.2882,0.4662,0.3072,3047,1568,491
allen__H17.03.002.11.06.03_569821470.swc,20269,interneuron,False,0.6013,0.7009,0.9266,1488,3048,15732
allen__H17.03.010.11.13.06_601958555.swc,10449,pyramidal,True,1.0,1.0,1.0,4303,3968,2177
allen__H17.06.003.11.05.01_567731428.swc,13241,pyramidal,True,0.5631,0.6723,0.8026,2614,2899,7727
allen__H17.06.003.12.05.01_567763632.swc,13735,pyramidal,True,0.5683,0.6762,0.7776,3054,3647,7033
allen__H17.06.004.11.05.04_569095789.swc,7001,interneuron,False,0.53,0.6475,0.7963,1426,1026,4548
allen__H17.06.004.11.05.05_569100745.swc,10436,pyramidal,True,0.5028,0.6271,0.7216,2905,1503,6027
allen__H17.06.004.11.05.06_569107566.swc,6610,pyramidal,True,0.4303,0.5727,0.5324,3091,634,2884
allen__H17.06.005.12.10.03_571429412.swc,4612,pyramidal,True,0.38,0.535,0.4126,2301,900,1410
allen__H17.06.005.12.10.07_571464200.swc,5053,interneuron,False,0.4757,0.6067,0.7227,1401,522,3129
allen__H17.06.005.12.15.03_571450870.swc,19239,pyramidal,True,0.5403,0.6552,0.7654,4513,3695,11030
allen__H17.06.005.12.15.04_571471295.swc,17244,interneuron,False,0.5048,0.6286,0.8082,1812,3730,11701
allen__H17.06.005.12.15.05_571483807.swc,19604,pyramidal,True,0.5995,0.6997,0.8612,2721,5396,11486
allen__H17.06.005.12.16.03_571527806.swc,8165,pyramidal,True,0.6305,0.7229,0.8545,1188,4876,2100
allen__H17.06.005.13.05.02_571430815.swc,7641,pyramidal,True,0.466,0.5995,0.6247,2868,948,3824
allen__H17.06.005.13.05.06_571500474.swc,5576,pyramidal,True,1.0,1.0,1.0,2497,2135,943
allen__H17.06.005.13.09.02_571520182.swc,8305,interneuron,False,0.56,0.67,0.8281,1428,1518,5358
allen__H17.06.006.11.08.02_571624532.swc,26161,interneuron,False,0.5473,0.6605,0.841,4160,3728,18272
allen__H17.06.006.11.08.04_571654895.swc,18589,interneuron,False,0.545,0.6588,0.8536,2721,2368,13499
allen__H17.06.006.11.08.05_571666289.swc,22075,pyramidal,True,0.6204,0.7153,0.9046,2106,6529,13439
allen__H17.06.006.11.09.04_571691416.swc,8027,pyramidal,True,1.0,1.0,1.0,5156,2842,28
allen__H17.06.006.11.09.08_571735073.swc,16706,pyramidal,True,0.4577,0.5932,0.496,7349,4989,4367
allen__H17.06.006.11.10.01_571624971.swc,24906,pyramidal,True,0.5256,0.6442,0.6959,7573,5162,12170
allen__H17.06.006.11.10.02_571642127.swc,17824,interneuron,False,0.536,0.652,0.8133,3328,2580,11915
allen__H17.06.007.11.08.02_576107598.swc,12160,pyramidal,True,0.5157,0.6368,0.6173,4654,2810,4695
allen__Nr5a1-Cre_Ai14-186567.04.01.01_476086391.swc,5948,interneuron,False,0.6039,0.7029,0.9225,461,993,4493
allen__Nr5a1-Cre_Ai14-230422.05.01.01_502269786.swc,9910,interneuron,False,0.5785,0.6838,0.9111,881,1224,7804
