file,cell_type_gt,n_nodes,accuracy,neurite_macro_f1,soma_f1,axon_f1,basal_f1,apical_f1,pred_soma,pred_axon,pred_basal,pred_apical
hpf_ca1__202250_003_edited.swc,pyramidal,11898,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,9645,873,1379
hpf_ca1__202250_007_edited.swc,pyramidal,16084,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,11878,1815,2390
hpf_ca1__202252_003_edited.swc,pyramidal,24673,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,21330,1201,2141
hpf_ca1__202252_006_edited.swc,pyramidal,31045,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,27386,1159,2499
hpf_ca1__202252_007_edited.swc,pyramidal,24544,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,20986,791,2766
hpf_ca1__202252_010_edited.swc,pyramidal,11173,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,8576,1050,1546
hpf_ca1__202258_019_edited.swc,pyramidal,53511,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,50165,1526,1819
hpf_ca1__202258_024_edited.swc,pyramidal,45054,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,43034,726,1293
hpf_ca1__202258_025_edited.swc,pyramidal,8169,1.000000,1.000000,1.000000,1.000000,1.000000,,1,5952,2216,0
hpf_ca1__202258_039_edited.swc,pyramidal,9388,1.000000,1.000000,1.000000,1.000000,1.000000,,1,7285,2102,0
hpf_ca1__202258_044_edited.swc,pyramidal,46542,0.988806,0.873800,1.000000,1.000000,0.726500,0.895000,1,43108,692,2741
hpf_ca1__202258_045_edited.swc,pyramidal,93614,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,88781,1844,2988
hpf_ca1__202258_049_edited.swc,pyramidal,33593,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,31442,610,1540
hpf_ca1__202259_054_edited.swc,pyramidal,26126,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,24681,567,877
hpf_ca1__202259_130_edited.swc,pyramidal,82953,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,79340,957,2655
hpf_ca1__202260_002_edited.swc,pyramidal,45091,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,42268,1075,1747
hpf_ca1__202261_008_edited.swc,pyramidal,64695,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,61431,1253,2010
hpf_ca1__202261_016_edited.swc,pyramidal,38091,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,32779,3443,1868
hpf_ca1__202261_029_edited.swc,pyramidal,6616,0.865931,0.906300,1.000000,1.000000,0.812700,,1,3804,1924,887
hpf_ca1__202261_030_edited.swc,pyramidal,24177,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,22658,845,673
hpf_ca1__202261_101_edited.swc,pyramidal,41256,1.000000,1.000000,1.000000,1.000000,1.000000,,1,39181,2074,0
hpf_ca1__202261_102_edited.swc,pyramidal,77364,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,73054,1819,2490
hpf_ca1__202264_036_edited.swc,pyramidal,45110,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,41491,1220,2398
hpf_ca1__202266_003_edited.swc,pyramidal,69774,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,65436,1747,2590
hpf_ca1__202268_110_edited.swc,pyramidal,18019,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,15334,1080,1604
hpf_ca1__202269_001_edited.swc,pyramidal,104901,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,100283,1988,2629
hpf_ca1__202269_002_edited.swc,pyramidal,98828,0.967297,0.501500,1.000000,1.000000,0.504600,0.000000,1,93949,4878,0
hpf_ca1__202271_143_edited.swc,pyramidal,23552,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,20434,1124,1993
hpf_ca1__202271_145_edited.swc,pyramidal,11926,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,9431,747,1747
hpf_ca1__202271_146_edited.swc,pyramidal,15617,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,13019,624,1973
hpf_ca1__202271_173_edited.swc,pyramidal,21184,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,18573,708,1902
hpf_ca1__202272_052_edited.swc,pyramidal,52913,1.000000,1.000000,1.000000,1.000000,1.000000,,1,49691,3221,0
hpf_ca1__202273_113_edited.swc,pyramidal,37982,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,36092,653,1236
hpf_ca1__202274_082_edited.swc,pyramidal,20246,1.000000,1.000000,1.000000,1.000000,1.000000,,1,18181,2064,0
hpf_ca1__202274_096_edited.swc,pyramidal,64438,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,60192,1876,2369
hpf_ca1__202396_044_edited.swc,pyramidal,27027,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,22921,1932,2173
hpf_ca1__202401_143_edited.swc,pyramidal,84069,1.000000,1.000000,1.000000,1.000000,1.000000,,1,80758,3310,0
hpf_ca1__202401_204_edited.swc,pyramidal,98473,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,93031,1747,3694
hpf_ca1__202401_206_edited.swc,pyramidal,70508,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,66224,1596,2687
hpf_ca1__202401_222_edited.swc,pyramidal,20058,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,17052,1011,1994
hpf_ca1__202402_001_edited.swc,pyramidal,76773,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,72142,2524,2106
hpf_ca1__202402_057_edited.swc,pyramidal,58954,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,53387,1637,3929
hpf_ca1__202403_106_edited.swc,pyramidal,3038,0.289664,0.423200,1.000000,0.000000,0.846400,,1,319,879,1839
hpf_ca1__202403_125_edited.swc,pyramidal,85402,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,80897,1719,2785
hpf_ca1__202403_126_edited.swc,pyramidal,104418,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,99686,1854,2877
hpf_ca1__202403_129_edited.swc,pyramidal,119979,0.971287,0.551200,1.000000,1.000000,0.653500,0.000000,1,113284,6694,0
hpf_ca1__202404_041_edited.swc,pyramidal,53487,0.992839,0.951000,1.000000,1.000000,0.902800,0.950100,1,47677,2161,3648
hpf_ca1__202405_001_edited.swc,pyramidal,113277,0.983386,0.795300,1.000000,1.000000,0.590500,,1,110037,1357,1882
hpf_ca1__202405_004_edited.swc,pyramidal,65357,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,60463,1620,3273
hpf_ca1__202405_005_edited.swc,pyramidal,41716,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,35827,2591,3297
hpf_ca1__202405_016_edited.swc,pyramidal,21298,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,19074,851,1372
hpf_ca1__202409_002_edited.swc,pyramidal,24776,1.000000,1.000000,1.000000,1.000000,1.000000,,1,23098,1677,0
hpf_ca1__202409_006_edited.swc,pyramidal,14392,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,11475,931,1985
hpf_ca1__202409_007_edited.swc,pyramidal,18881,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,16440,936,1504
hpf_ca1__202410_017_edited.swc,pyramidal,26447,1.000000,1.000000,1.000000,1.000000,1.000000,,1,25380,1066,0
hpf_ca1__202411_001_edited.swc,pyramidal,18950,1.000000,1.000000,1.000000,1.000000,1.000000,,1,15599,3350,0
hpf_ca1__202411_008_edited.swc,pyramidal,12788,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,10344,786,1657
hpf_ca1__202411_010_edited.swc,pyramidal,25553,1.000000,1.000000,1.000000,1.000000,1.000000,,1,24177,1375,0
hpf_ca1__202411_022_edited.swc,pyramidal,46704,1.000000,1.000000,1.000000,1.000000,1.000000,,1,44848,1855,0
hpf_ca1__202412_005_edited.swc,pyramidal,29268,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,25961,1190,2116
hpf_ca1__202412_009_edited.swc,pyramidal,36311,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,33801,939,1570
hpf_ca1__202412_011_edited.swc,pyramidal,30760,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,28771,1014,974
hpf_ca1__202412_021_edited.swc,pyramidal,19891,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,17694,503,1693
hpf_ca1__202412_098_edited.swc,pyramidal,77461,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,74149,1642,1669
hpf_ca1__202412_099_edited.swc,pyramidal,44571,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,42390,572,1608
hpf_ca1__202413_054_edited.swc,pyramidal,53539,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,49643,1813,2082
hpf_ca1__202413_067_edited.swc,pyramidal,39361,1.000000,1.000000,1.000000,1.000000,1.000000,,1,36771,2589,0
hpf_ca1__202414_255_edited.swc,pyramidal,72484,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,66893,2311,3279
hpf_ca1__202414_270_edited.swc,pyramidal,31894,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,27847,1517,2529
hpf_ca1__202414_542_edited.swc,pyramidal,53877,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,50594,1448,1834
hpf_ca1__202415_003_edited.swc,pyramidal,91934,0.971991,0.525300,1.000000,1.000000,0.575900,0.000000,1,87610,4323,0
hpf_ca1__202417_008_edited.swc,pyramidal,32128,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,29331,1121,1675
hpf_ca1__202417_047_edited.swc,pyramidal,12723,1.000000,1.000000,1.000000,1.000000,1.000000,,1,11702,1020,0
hpf_ca1__202418_010_edited.swc,pyramidal,49583,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,45941,1218,2423
hpf_ca1__202418_016_edited.swc,pyramidal,8283,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,5730,1075,1477
hpf_ca1__202419_054_edited.swc,pyramidal,53674,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,50878,1148,1647
hpf_ca1__202423_005_edited.swc,pyramidal,104754,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,100638,2237,1878
hpf_ca1__202423_006_edited.swc,pyramidal,16777,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,13805,1099,1872
hpf_ca1__202423_013_edited.swc,pyramidal,45777,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,43211,1054,1511
hpf_ca1__202423_024_edited.swc,pyramidal,37789,0.938077,0.796200,1.000000,1.000000,0.592300,,1,33748,1700,2340
hpf_ca1__202423_025_edited.swc,pyramidal,51714,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,48234,1437,2042
hpf_ca1__202423_033_edited.swc,pyramidal,59489,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,56119,989,2380
