name,n_nodes,predicted_cell_type,stage1_correct,neurite_macro_f1,macro_f1,accuracy,n_apical_gt,n_basal_gt,n_axon_gt
neuromorpho__23032017_C8_RED.swc,4295,pyramidal,True,0.6317,0.7238,0.926,2618,1358,318
neuromorpho__236-1-11LS.swc,284,pyramidal,True,0.6461,0.7345,0.9401,137,129,17
neuromorpho__236-1-12LS.swc,785,pyramidal,True,0.44,0.6267,0.786,0,768,16
neuromorpho__236-1-13LS.swc,644,pyramidal,True,0.6626,0.7469,0.9829,189,443,11
neuromorpho__236-1-14LS.swc,646,pyramidal,True,0.2633,0.4475,0.6533,113,507,25
neuromorpho__236-1-15LS.swc,787,pyramidal,True,0.5952,0.6964,0.8717,271,471,44
neuromorpho__236-1-17LS.swc,702,pyramidal,True,0.2641,0.4481,0.6567,226,460,15
neuromorpho__236-1-18LS.swc,229,pyramidal,True,0.2798,0.4598,0.4148,98,94,36
neuromorpho__236-1-19LS.swc,395,pyramidal,True,0.3746,0.5831,0.6,0,386,8
neuromorpho__236-1-22LS.swc,905,pyramidal,True,0.374,0.5826,0.5978,0,893,11
neuromorpho__236-1-23LS.swc,740,pyramidal,True,0.2175,0.4131,0.2892,299,423,17
neuromorpho__236-1-25LS.swc,768,pyramidal,True,0.2278,0.4209,0.3177,299,461,7
neuromorpho__236-1-3LS.swc,768,pyramidal,True,1.0,1.0,1.0,0,551,216
neuromorpho__236-1-5LS.swc,805,pyramidal,True,0.3307,0.498,0.4671,423,375,6
neuromorpho__236-1a-1-AW.swc,351,pyramidal,True,0.6623,0.7468,0.9858,155,190,5
neuromorpho__236-1a-12-AW.swc,289,pyramidal,True,0.3277,0.4957,0.6021,109,173,6
neuromorpho__236-1a-2-AW.swc,206,pyramidal,True,0.2171,0.4128,0.4854,71,129,5
neuromorpho__236-1a-4-AW.swc,350,pyramidal,True,0.6604,0.7453,0.98,160,182,7
neuromorpho__236-1a-5-AW.swc,323,pyramidal,True,0.1907,0.393,0.4025,94,222,6
neuromorpho__236-1a-7-AW.swc,348,pyramidal,True,0.3278,0.4959,0.6034,131,209,7
neuromorpho__236-1a-8-AW.swc,467,pyramidal,True,0.6631,0.7473,0.985,134,325,7
neuromorpho__236-2-100LS.swc,407,pyramidal,True,0.6125,0.7094,0.7961,109,290,7
neuromorpho__236-2-101LS.swc,432,pyramidal,True,0.6031,0.7023,0.7917,150,274,7
neuromorpho__236-2-11LS.swc,741,pyramidal,True,0.6644,0.7483,0.9919,295,439,6
neuromorpho__236-2-16LS.swc,645,pyramidal,True,0.5806,0.6855,0.7054,181,449,14
neuromorpho__236-2-17LS.swc,506,pyramidal,True,0.6381,0.7285,0.9091,214,281,10
