scope,feature_mode,test_seed,selected_model,selected_feature_set,n_train,n_val,n_test,n_bad_test,bad_rate_test,before_f1_mean,before_f1_p10,test_ap,test_auc,model_path,operating_point,target_value,validation_precision,validation_recall,score_threshold,reject_rate,n_rejected,precision_lt_target,recall_lt_target,binary_accuracy,kept_f1_p10,rejected_f1_mean,tp,fp,fn,tn,kept_f1_mean,kept_f1_p25
all,compact,42,extra_trees,no_lab,2835,953,2328,169,0.07259450171821306,0.9392518041237113,0.6742400000000002,0.42479657405339655,0.8577771321919254,paper/models/final_flag_multiseed_loso/all_compact_testseed42_f060.joblib,validation_recall,0.5,0.3592233009708738,0.5068493150684932,0.6183287615173014,0.06915807560137457,161,0.4472049689440994,0.4260355029585799,0.9201030927835051,0.8990800000000001,0.6898993788819876,72,89,97,2070,,
all,compact,42,extra_trees,no_lab,2835,953,2328,169,0.07259450171821306,0.9392518041237113,0.6742400000000002,0.42479657405339655,0.8577771321919254,paper/models/final_flag_multiseed_loso/all_compact_testseed42_f060.joblib,validation_recall,0.7,0.30409356725146197,0.7123287671232876,0.4943437536478295,0.14647766323024056,341,0.31671554252199413,0.6390532544378699,0.8737113402061856,0.98298,0.7702651026392962,108,233,61,1926,,
all,compact,42,extra_trees,no_lab,2835,953,2328,169,0.07259450171821306,0.9392518041237113,0.6742400000000002,0.42479657405339655,0.8577771321919254,paper/models/final_flag_multiseed_loso/all_compact_testseed42_f060.joblib,validation_recall,0.8,0.2964824120603015,0.8082191780821918,0.4499754580544375,0.1799828178694158,419,0.2720763723150358,0.6745562130177515,0.845360824742268,0.99174,0.7971140811455847,114,305,55,1854,,
all,compact,42,extra_trees,no_lab,2835,953,2328,169,0.07259450171821306,0.9392518041237113,0.6742400000000002,0.42479657405339655,0.8577771321919254,paper/models/final_flag_multiseed_loso/all_compact_testseed42_f060.joblib,validation_recall,0.9,0.205607476635514,0.9041095890410958,0.3442016969924844,0.3019759450171821,703,0.19914651493598862,0.8284023668639053,0.7457044673539519,1.0,0.8505900426742532,140,563,29,1596,,
all,compact,42,extra_trees,no_lab,2835,953,2328,169,0.07259450171821306,0.9392518041237113,0.6742400000000002,0.42479657405339655,0.8577771321919254,paper/models/final_flag_multiseed_loso/all_compact_testseed42_f060.joblib,validation_precision,0.7,1.0,0.0136986301369863,0.9316737017988919,0.0,0,0.0,0.0,0.927405498281787,0.6742400000000002,,0,0,169,2159,,
all,compact,42,extra_trees,no_lab,2835,953,2328,169,0.07259450171821306,0.9392518041237113,0.6742400000000002,0.42479657405339655,0.8577771321919254,paper/models/final_flag_multiseed_loso/all_compact_testseed42_f060.joblib,validation_precision,0.8,1.0,0.0136986301369863,0.9316737017988919,0.0,0,0.0,0.0,0.927405498281787,0.6742400000000002,,0,0,169,2159,,
all,compact,42,extra_trees,no_lab,2835,953,2328,169,0.07259450171821306,0.9392518041237113,0.6742400000000002,0.42479657405339655,0.8577771321919254,paper/models/final_flag_multiseed_loso/all_compact_testseed42_f060.joblib,validation_precision,0.9,1.0,0.0136986301369863,0.9316737017988919,0.0,0,0.0,0.0,0.927405498281787,0.6742400000000002,,0,0,169,2159,,
all,compact,42,extra_trees,no_lab,2835,953,2328,169,0.07259450171821306,0.9392518041237113,0.6742400000000002,0.42479657405339655,0.8577771321919254,paper/models/final_flag_multiseed_loso/all_compact_testseed42_f060.joblib,fixed_reject_rate,0.05,,,,0.05,116,0.49137931034482757,0.33727810650887574,0.9265463917525774,0.86712,0.6579879310344827,57,59,112,2100,0.9540016274864377,1.0
all,compact,42,extra_trees,no_lab,2835,953,2328,169,0.07259450171821306,0.9392518041237113,0.6742400000000002,0.42479657405339655,0.8577771321919254,paper/models/final_flag_multiseed_loso/all_compact_testseed42_f060.joblib,fixed_reject_rate,0.1,,,,0.1,233,0.39914163090128757,0.5502958579881657,0.9072164948453608,0.9521999999999999,0.7204180257510729,93,140,76,2019,0.9635898806682578,1.0
all,compact,42,extra_trees,no_lab,2835,953,2328,169,0.07259450171821306,0.9392518041237113,0.6742400000000002,0.42479657405339655,0.8577771321919254,paper/models/final_flag_multiseed_loso/all_compact_testseed42_f060.joblib,fixed_reject_rate,0.15,,,,0.15,349,0.3123209169054441,0.6449704142011834,0.8711340206185567,0.98658,0.7722183381088824,109,240,60,1919,0.9687084386053563,1.0
all,compact,789,hgb,full,2856,958,2293,148,0.06454426515481901,0.9434018316615785,0.78374,0.3487723374530717,0.8770963270963271,paper/models/final_flag_multiseed_loso/all_compact_testseed789_f060.joblib,validation_recall,0.5,0.5063291139240507,0.5,0.5445855104612765,0.08896641953772351,204,0.3627450980392157,0.5,0.9110335804622764,0.97104,0.7381063725490197,74,130,74,2015,,
all,compact,789,hgb,full,2856,958,2293,148,0.06454426515481901,0.9434018316615785,0.78374,0.3487723374530717,0.8770963270963271,paper/models/final_flag_multiseed_loso/all_compact_testseed789_f060.joblib,validation_recall,0.7,0.3393939393939394,0.7,0.26346215360881786,0.17139119058002616,393,0.2824427480916031,0.75,0.8608809419973833,1.0,0.7833358778625954,111,282,37,1863,,
all,compact,789,hgb,full,2856,958,2293,148,0.06454426515481901,0.9434018316615785,0.78374,0.3487723374530717,0.8770963270963271,paper/models/final_flag_multiseed_loso/all_compact_testseed789_f060.joblib,validation_recall,0.8,0.2857142857142857,0.8,0.1590395997118397,0.23724378543392935,544,0.21507352941176472,0.7905405405405406,0.8002616659398168,1.0,0.825561580882353,117,427,31,1718,,
all,compact,789,hgb,full,2856,958,2293,148,0.06454426515481901,0.9434018316615785,0.78374,0.3487723374530717,0.8770963270963271,paper/models/final_flag_multiseed_loso/all_compact_testseed789_f060.joblib,validation_recall,0.9,0.18227848101265823,0.9,0.04791494732174966,0.41517662450937637,952,0.14285714285714285,0.918918918918919,0.6389010030527693,1.0,0.8805751050420169,136,816,12,1329,,
all,compact,789,hgb,full,2856,958,2293,148,0.06454426515481901,0.9434018316615785,0.78374,0.3487723374530717,0.8770963270963271,paper/models/final_flag_multiseed_loso/all_compact_testseed789_f060.joblib,validation_precision,0.7,0.7142857142857143,0.3125,0.7414805021092904,0.04666375926733537,107,0.40186915887850466,0.2905405405405405,0.9262974269515918,0.8978999999999999,0.7070635514018692,43,64,105,2081,,
all,compact,789,hgb,full,2856,958,2293,148,0.06454426515481901,0.9434018316615785,0.78374,0.3487723374530717,0.8770963270963271,paper/models/final_flag_multiseed_loso/all_compact_testseed789_f060.joblib,validation_precision,0.8,0.8,0.1,0.9187118601989149,0.0039249890972525075,9,0.5555555555555556,0.033783783783783786,0.9358918447448757,0.79557,0.6164888888888889,5,4,143,2141,,
all,compact,789,hgb,full,2856,958,2293,148,0.06454426515481901,0.9434018316615785,0.78374,0.3487723374530717,0.8770963270963271,paper/models/final_flag_multiseed_loso/all_compact_testseed789_f060.joblib,validation_precision,0.9,1.0,0.0375,0.9414581733004767,0.0013083296990841692,3,0.3333333333333333,0.006756756756756757,0.9350196249454863,0.791,0.6251000000000001,1,2,147,2143,,
all,compact,789,hgb,full,2856,958,2293,148,0.06454426515481901,0.9434018316615785,0.78374,0.3487723374530717,0.8770963270963271,paper/models/final_flag_multiseed_loso/all_compact_testseed789_f060.joblib,fixed_reject_rate,0.05,,,,0.05,115,0.41739130434782606,0.32432432432432434,0.9271696467509812,0.90272,0.7047817391304348,48,67,100,2078,0.956001147842057,1.0
all,compact,789,hgb,full,2856,958,2293,148,0.06454426515481901,0.9434018316615785,0.78374,0.3487723374530717,0.8770963270963271,paper/models/final_flag_multiseed_loso/all_compact_testseed789_f060.joblib,fixed_reject_rate,0.1,,,,0.1,229,0.35807860262008734,0.5540540540540541,0.907108591365024,0.97444,0.7441366812227075,82,147,66,1998,0.965510222868217,1.0
all,compact,789,hgb,full,2856,958,2293,148,0.06454426515481901,0.9434018316615785,0.78374,0.3487723374530717,0.8770963270963271,paper/models/final_flag_multiseed_loso/all_compact_testseed789_f060.joblib,fixed_reject_rate,0.15,,,,0.15,344,0.3081395348837209,0.7162162162162162,0.8778892280854775,0.9993599999999999,0.7644340116279068,106,238,42,1907,0.9749897896357106,1.0
all,branch3,123,hgb,full,2778,910,2402,211,0.08784346378018318,0.9260884263114071,0.6341800000000001,0.43470751880428415,0.8502945050951652,paper/models/final_flag_multiseed_loso/all_branch3_testseed123_f060.joblib,validation_recall,0.5,0.49230769230769234,0.5079365079365079,0.5892356100072955,0.08950874271440466,215,0.4744186046511628,0.4834123222748815,0.9075770191507078,0.8845400000000001,0.6503558139534884,102,113,109,2078,,
all,branch3,123,hgb,full,2778,910,2402,211,0.08784346378018318,0.9260884263114071,0.6341800000000001,0.43470751880428415,0.8502945050951652,paper/models/final_flag_multiseed_loso/all_branch3_testseed123_f060.joblib,validation_recall,0.7,0.4205607476635514,0.7142857142857143,0.3845876250129869,0.13738551207327226,330,0.38181818181818183,0.5971563981042654,0.8796835970024979,0.95233,0.7110372727272728,126,204,85,1987,,
all,branch3,123,hgb,full,2778,910,2402,211,0.08784346378018318,0.9260884263114071,0.6341800000000001,0.43470751880428415,0.8502945050951652,paper/models/final_flag_multiseed_loso/all_branch3_testseed123_f060.joblib,validation_recall,0.8,0.38345864661654133,0.8095238095238095,0.2996942793070407,0.17277268942547877,415,0.3349397590361446,0.6587677725118484,0.855120732722731,0.9768,0.742963373493976,139,276,72,1915,,
all,branch3,123,hgb,full,2778,910,2402,211,0.08784346378018318,0.9260884263114071,0.6341800000000001,0.43470751880428415,0.8502945050951652,paper/models/final_flag_multiseed_loso/all_branch3_testseed123_f060.joblib,validation_recall,0.9,0.26635514018691586,0.9047619047619048,0.10585334365194231,0.3351373855120733,805,0.21366459627329193,0.8151658767772512,0.720233139050791,0.9998,0.8317239751552796,172,633,39,1558,,
all,branch3,123,hgb,full,2778,910,2402,211,0.08784346378018318,0.9260884263114071,0.6341800000000001,0.43470751880428415,0.8502945050951652,paper/models/final_flag_multiseed_loso/all_branch3_testseed123_f060.joblib,validation_precision,0.7,1.0,0.015873015873015872,0.9720266577261305,0.00041631973355537054,1,1.0,0.004739336492890996,0.9125728559533722,0.6358,0.0,1,0,210,2191,,
all,branch3,123,hgb,full,2778,910,2402,211,0.08784346378018318,0.9260884263114071,0.6341800000000001,0.43470751880428415,0.8502945050951652,paper/models/final_flag_multiseed_loso/all_branch3_testseed123_f060.joblib,validation_precision,0.8,1.0,0.015873015873015872,0.9720266577261305,0.00041631973355537054,1,1.0,0.004739336492890996,0.9125728559533722,0.6358,0.0,1,0,210,2191,,
all,branch3,123,hgb,full,2778,910,2402,211,0.08784346378018318,0.9260884263114071,0.6341800000000001,0.43470751880428415,0.8502945050951652,paper/models/final_flag_multiseed_loso/all_branch3_testseed123_f060.joblib,validation_precision,0.9,1.0,0.015873015873015872,0.9720266577261305,0.00041631973355537054,1,1.0,0.004739336492890996,0.9125728559533722,0.6358,0.0,1,0,210,2191,,
all,branch3,123,hgb,full,2778,910,2402,211,0.08784346378018318,0.9260884263114071,0.6341800000000001,0.43470751880428415,0.8502945050951652,paper/models/final_flag_multiseed_loso/all_branch3_testseed123_f060.joblib,fixed_reject_rate,0.05,,,,0.05,120,0.6,0.3412322274881517,0.9221482098251457,0.77258,0.5671350000000001,72,48,139,2143,0.9449641542506573,1.0
all,branch3,123,hgb,full,2778,910,2402,211,0.08784346378018318,0.9260884263114071,0.6341800000000001,0.43470751880428415,0.8502945050951652,paper/models/final_flag_multiseed_loso/all_branch3_testseed123_f060.joblib,fixed_reject_rate,0.1,,,,0.1,240,0.44583333333333336,0.5071090047393365,0.9013322231473772,0.90742,0.6654141666666666,107,133,104,2058,0.9550254394079556,1.0
all,branch3,123,hgb,full,2778,910,2402,211,0.08784346378018318,0.9260884263114071,0.6341800000000001,0.43470751880428415,0.8502945050951652,paper/models/final_flag_multiseed_loso/all_branch3_testseed123_f060.joblib,fixed_reject_rate,0.15,,,,0.15,360,0.36944444444444446,0.6303317535545023,0.873022481265612,0.9682999999999999,0.7188969444444443,133,227,78,1964,0.9626158178256612,1.0
