path,rel_path,cell_type,source,n_bytes,parseable,non_empty,has_soma,single_root,no_orphan,has_neurites,radius_positive,coords_finite,reasonable_size,n_nodes,n_soma,n_axon,n_basal,n_apical,n_other,n_roots,n_orphan,n_custom_type_nodes_raw,custom_type_values_raw,n_soma_raw,n_soma_groups,n_soma_nodes_removed,n_nodes_raw,qc_pass,qc_reason
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__14--OTC-1-nM-NPY-11-weeks.swc,pyramidal/swc/neuromorpho__14--OTC-1-nM-NPY-11-weeks.swc,pyramidal,neuromorpho,106554,True,True,True,True,True,True,True,True,True,2821,1,0,2820,0,0,1,0,0,,3,1,2,2823,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__14--P14-Acute-20x.swc,pyramidal/swc/neuromorpho__14--P14-Acute-20x.swc,pyramidal,neuromorpho,210668,True,True,True,True,True,True,True,True,True,5499,1,0,5498,0,0,1,0,0,,3,1,2,5501,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__1451-1-Sec1-BSL2.swc,pyramidal/swc/neuromorpho__1451-1-Sec1-BSL2.swc,pyramidal,neuromorpho,44340,True,True,True,True,True,True,True,True,True,1227,1,0,1226,0,0,1,0,0,,3,1,2,1229,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__1451-1-Sec2-BSL1.swc,pyramidal/swc/neuromorpho__1451-1-Sec2-BSL1.swc,pyramidal,neuromorpho,63156,True,True,True,True,True,True,True,True,True,1712,1,0,1711,0,0,1,0,0,,3,1,2,1714,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__1451-1-Sec3-LTL1.swc,pyramidal/swc/neuromorpho__1451-1-Sec3-LTL1.swc,pyramidal,neuromorpho,20202,True,True,True,True,True,True,True,True,True,558,1,0,557,0,0,1,0,0,,3,1,2,560,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__1451-1-Sec3-LTL2.swc,pyramidal/swc/neuromorpho__1451-1-Sec3-LTL2.swc,pyramidal,neuromorpho,44582,True,True,True,True,True,True,True,True,True,1223,1,0,1222,0,0,1,0,0,,3,1,2,1225,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__1460-2-Sec1-BSL1.swc,pyramidal/swc/neuromorpho__1460-2-Sec1-BSL1.swc,pyramidal,neuromorpho,90224,True,True,True,True,True,True,True,True,True,2410,1,0,2409,0,0,1,0,0,,3,1,2,2412,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__1460-2-Sec2-BSL2.swc,pyramidal/swc/neuromorpho__1460-2-Sec2-BSL2.swc,pyramidal,neuromorpho,58279,True,True,True,True,True,True,True,True,True,1562,1,0,1561,0,0,1,0,0,,3,1,2,1564,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__1460-2-Sec2-LTL1.swc,pyramidal/swc/neuromorpho__1460-2-Sec2-LTL1.swc,pyramidal,neuromorpho,69119,True,True,True,True,True,True,True,True,True,1846,1,0,1845,0,0,1,0,0,,3,1,2,1848,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__1460-2-Sec5-LTL2.swc,pyramidal/swc/neuromorpho__1460-2-Sec5-LTL2.swc,pyramidal,neuromorpho,121222,True,True,True,True,True,True,True,True,True,3189,1,0,3188,0,0,1,0,0,,3,1,2,3191,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__1463-2-Sec4-BSL2.swc,pyramidal/swc/neuromorpho__1463-2-Sec4-BSL2.swc,pyramidal,neuromorpho,63368,True,True,True,True,True,True,True,True,True,1682,1,0,1681,0,0,1,0,0,,3,1,2,1684,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__1463-2-Sec4-LTL2.swc,pyramidal/swc/neuromorpho__1463-2-Sec4-LTL2.swc,pyramidal,neuromorpho,43043,True,True,True,True,True,True,True,True,True,1190,1,0,1189,0,0,1,0,0,,3,1,2,1192,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__1463-2-Sec5-BSL1.swc,pyramidal/swc/neuromorpho__1463-2-Sec5-BSL1.swc,pyramidal,neuromorpho,124116,True,True,True,True,True,True,True,True,True,3273,1,0,3272,0,0,1,0,0,,3,1,2,3275,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__1463-2-Sec5-LTL1.swc,pyramidal/swc/neuromorpho__1463-2-Sec5-LTL1.swc,pyramidal,neuromorpho,27548,True,True,True,True,True,True,True,True,True,759,1,0,758,0,0,1,0,0,,3,1,2,761,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__14_08_13_-1_Cell_-5.swc,pyramidal/swc/neuromorpho__14_08_13_-1_Cell_-5.swc,pyramidal,neuromorpho,1279129,True,True,True,True,True,True,True,True,True,31155,1,11999,5431,13724,0,1,0,0,,3,1,2,31157,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\neuromorpho__14_36.swc,pyramidal/swc/neuromorpho__14_36.swc,pyramidal,neuromorpho,54731,True,True,True,True,True,True,True,True,True,1563,1,0,1562,0,0,1,0,0,,3,1,2,1565,True,
