file,cell_type_gt,n_nodes,accuracy,neurite_macro_f1,soma_f1,axon_f1,basal_f1,apical_f1,pred_soma,pred_axon,pred_basal,pred_apical
hpf_ca1__202252_001_edited.swc,pyramidal,48744,1.000000,1.000000,1.000000,1.000000,1.000000,,1,46212,2531,0
hpf_ca1__202252_004_edited.swc,pyramidal,25228,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,22350,1144,1733
hpf_ca1__202252_006_edited.swc,pyramidal,31045,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,27386,1159,2499
hpf_ca1__202252_007_edited.swc,pyramidal,24544,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,20986,791,2766
hpf_ca1__202252_012_edited.swc,pyramidal,42856,1.000000,1.000000,1.000000,1.000000,1.000000,,1,40750,2105,0
hpf_ca1__202258_026_edited.swc,pyramidal,81411,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,77402,828,3180
hpf_ca1__202258_044_edited.swc,pyramidal,46542,0.988806,0.873800,1.000000,1.000000,0.726500,0.895000,1,43108,692,2741
hpf_ca1__202259_054_edited.swc,pyramidal,26126,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,24681,567,877
hpf_ca1__202259_069_edited.swc,pyramidal,65527,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,63245,1074,1207
hpf_ca1__202259_134_edited.swc,pyramidal,59347,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,56903,531,1912
hpf_ca1__202260_002_edited.swc,pyramidal,45091,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,42268,1075,1747
hpf_ca1__202261_005_edited.swc,pyramidal,37599,0.974813,0.586100,1.000000,1.000000,0.758400,0.000000,1,35165,2433,0
hpf_ca1__202261_011_edited.swc,pyramidal,51978,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,49193,842,1942
hpf_ca1__202261_017_edited.swc,pyramidal,45215,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,42306,1148,1760
hpf_ca1__202261_029_edited.swc,pyramidal,6616,0.865931,0.906300,1.000000,1.000000,0.812700,,1,3804,1924,887
hpf_ca1__202261_030_edited.swc,pyramidal,24177,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,22658,845,673
hpf_ca1__202261_102_edited.swc,pyramidal,77364,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,73054,1819,2490
hpf_ca1__202261_111_edited.swc,pyramidal,68075,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,65370,1213,1491
hpf_ca1__202269_017_edited.swc,pyramidal,78222,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,72959,2378,2884
hpf_ca1__202271_127_edited.swc,pyramidal,47994,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,43385,1557,3051
hpf_ca1__202271_143_edited.swc,pyramidal,23552,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,20434,1124,1993
hpf_ca1__202271_177_edited.swc,pyramidal,65706,1.000000,1.000000,1.000000,1.000000,1.000000,,1,63105,2600,0
hpf_ca1__202271_179_edited.swc,pyramidal,22142,1.000000,1.000000,1.000000,1.000000,1.000000,,1,20270,1871,0
hpf_ca1__202271_180_edited.swc,pyramidal,34721,1.000000,1.000000,1.000000,1.000000,1.000000,,1,33141,1579,0
hpf_ca1__202272_052_edited.swc,pyramidal,52913,1.000000,1.000000,1.000000,1.000000,1.000000,,1,49691,3221,0
hpf_ca1__202272_102_edited.swc,pyramidal,43119,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,39097,1601,2420
hpf_ca1__202274_080_edited.swc,pyramidal,36295,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,34083,1010,1201
hpf_ca1__202274_082_edited.swc,pyramidal,20246,1.000000,1.000000,1.000000,1.000000,1.000000,,1,18181,2064,0
hpf_ca1__202274_094_edited.swc,pyramidal,58538,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,55834,1288,1415
hpf_ca1__202274_096_edited.swc,pyramidal,64438,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,60192,1876,2369
hpf_ca1__202396_035_edited.swc,pyramidal,48891,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,46010,1104,1776
hpf_ca1__202396_051_edited.swc,pyramidal,44449,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,41166,1235,2047
hpf_ca1__202399_003_edited.swc,pyramidal,15413,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,14069,440,903
hpf_ca1__202399_006_edited.swc,pyramidal,11612,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,9956,570,1085
hpf_ca1__202399_022_edited.swc,pyramidal,51007,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,45555,2115,3336
