hidden,n_layers,dropout,n_params,fold,best_epoch,branch_macro_f1,branch_apical_f1,branch_basal_f1,cell_mean_macro_f1
64,2,0.2,14978,3,11,0.9603664979852939,0.9614340032590983,0.9592989927114897,0.8538650512323116
64,2,0.2,14978,4,55,0.9588576913279481,0.9554916819092414,0.9622237007466549,0.8395634972334107
64,2,0.5,14978,0,32,0.9568317251254548,0.9555715083353274,0.958091941915582,0.8678693940260297
64,2,0.5,14978,1,45,0.9577616155102338,0.9576537702040517,0.9578694608164157,0.8589291059566395
64,2,0.5,14978,2,30,0.9635894761830367,0.9636430407638634,0.96353591160221,0.850564316995804
64,2,0.5,14978,3,11,0.9584375116512558,0.9598086862608964,0.9570663370416151,0.8509674619255465
64,2,0.5,14978,4,43,0.9565380604796663,0.9530761209593326,0.96,0.8396515786811959
64,3,0.0,23234,0,14,0.9566816430264966,0.9555042585369736,0.9578590275160196,0.8652664386426653
64,3,0.0,23234,1,15,0.9614091148219184,0.9613049520883622,0.9615132775554747,0.8641781373542986
64,3,0.0,23234,2,40,0.9638084571057544,0.9640613586559532,0.9635555555555556,0.8572754093719415
64,3,0.0,23234,3,18,0.960617795849946,0.9614243323442137,0.9598112593556785,0.843779027609006
64,3,0.0,23234,4,39,0.963883453662402,0.9611423626135872,0.9666245447112168,0.8401565554026357
64,3,0.2,23234,0,12,0.9567582183551515,0.9555661729574773,0.9579502637528259,0.8612670668402702
64,3,0.2,23234,1,15,0.9609710670649951,0.960814473009595,0.9611276611203953,0.8630100249017416
64,3,0.2,23234,2,14,0.9646184073212121,0.9648005854372484,0.9644362292051756,0.8590254792166577
64,3,0.2,23234,3,24,0.9611542217561232,0.9623676686500271,0.9599407748622193,0.8576810037723007
64,3,0.2,23234,4,57,0.9658914712723069,0.9632836854866643,0.9684992570579495,0.8445692542550681
64,3,0.5,23234,0,39,0.9586855222633606,0.9573770491803278,0.9599939953463934,0.8676162954099632
64,3,0.5,23234,1,15,0.9602414070350229,0.9600644830365648,0.960418331033481,0.8606725887298096
64,3,0.5,23234,2,26,0.964251562881241,0.9642489333529498,0.9642541924095323,0.8514494335745533
64,3,0.5,23234,3,18,0.9588312614275591,0.9602649006622517,0.9573976221928666,0.8559052423690762
64,3,0.5,23234,4,61,0.9642206332041523,0.961608144249849,0.9668331221584557,0.8456627033124166
128,2,0.0,46338,0,29,0.9589308013025841,0.9578495307777954,0.9600120718273729,0.8739567985577341
128,2,0.0,46338,1,25,0.9609716901679326,0.9609859257638736,0.9609574545719916,0.8653461086306272
128,2,0.0,46338,2,14,0.9655015561634392,0.9656284353242947,0.965374677002584,0.8581901705273315
128,2,0.0,46338,3,25,0.9618137362135948,0.9625927372120265,0.9610347352151631,0.8580101121703192
128,2,0.0,46338,4,43,0.9668535314982455,0.9642980935875216,0.9694089694089694,0.8477883080738268
128,2,0.2,46338,0,22,0.9592322094235841,0.9580073447229762,0.9604570741241919,0.8686114119575288
128,2,0.2,46338,1,25,0.9602421585820526,0.9602044541803578,0.9602798629837476,0.8642216869267515
128,2,0.2,46338,2,35,0.9652071192888989,0.9653606737458806,0.9650535648319173,0.8598239959871595
128,2,0.2,46338,3,21,0.9626746146613014,0.9637602601827474,0.9615889691398556,0.8625623694298927
128,2,0.2,46338,4,40,0.9641634656511153,0.9617101648351648,0.9666167664670658,0.8485150581494416
128,2,0.5,46338,0,33,0.9595242223923713,0.9580385852090032,0.9610098595757395,0.8653413450427534
128,2,0.5,46338,1,19,0.958272533587334,0.9582542694497154,0.9582907977249526,0.860700580303204
128,2,0.5,46338,2,41,0.9643981348981061,0.9645369284876905,0.9642593413085216,0.8546558214186503
128,2,0.5,46338,3,34,0.9601937975870044,0.9614879987651462,0.9588995964088626,0.8608767997683382
128,2,0.5,46338,4,25,0.9614123737778193,0.9586349534643226,0.964189794091316,0.8411064560260142
128,3,0.0,79234,0,9,0.9580012743767516,0.9569020356234097,0.9591005131300936,0.8721052428077647
128,3,0.0,79234,1,21,0.9619916033525387,0.9617614678899082,0.9622217388151693,0.8603690929912866
