experiment,feature_mode,subset,target,n_rows,n_bad,bad_rate,saved_bundle,target_recall,model_name,feature_set,val_precision,val_recall,score_threshold,test_precision,test_recall,test_n_rejected,test_tp,test_fp,test_fn,test_accuracy,test_kept_f1_p10,val_ap,test_ap
single_failure_head_ranked_against_cell_f060,xmodel,all,basal_f060,2402,211,0.08784346378018318,,0.5,rf,no_lab,0.7777777777777778,0.5,0.3155687885097229,0.6818181818181818,0.35714285714285715,22,15,7,27,0.9293139293139293,0.7333000000000001,0.6949777751314536,0.6146767742848533
single_failure_head_ranked_against_cell_f060,xmodel,all,basal_f060,2402,211,0.08784346378018318,,0.7,extra_trees,full,0.5454545454545454,0.7142857142857143,0.3056183442976899,0.56,0.6666666666666666,50,28,22,14,0.9251559251559252,0.9583,0.6742417706635606,0.5587770767965624
single_failure_head_ranked_against_cell_f060,xmodel,all,basal_f060,2402,211,0.08784346378018318,,0.8,gb,full,0.4594594594594595,0.8095238095238095,0.00847292503016406,0.37777777777777777,0.8095238095238095,90,34,56,8,0.8669438669438669,0.9915,0.6116359875732447,0.4999442437134329
single_failure_head_ranked_against_cell_f060,xmodel,all,basal_f060,2402,211,0.08784346378018318,,0.9,rf,full,0.304,0.9047619047619048,0.06523170894663795,0.2803030303030303,0.8809523809523809,132,37,95,5,0.7920997920997921,1.0,0.6919616067945682,0.6157755480019146
single_failure_head_ranked_against_cell_f060,xmodel,all,basal_f060,2402,211,0.08784346378018318,,0.95,rf,no_lab,0.2962962962962963,0.9523809523809523,0.04873338881483846,0.2550335570469799,0.9047619047619048,149,38,111,4,0.760914760914761,1.0,0.6949777751314536,0.6146767742848533
single_failure_head_ranked_against_cell_f060,xmodel,all,apical_f050,2402,211,0.08784346378018318,,0.5,rf,full,0.6176470588235294,0.5,0.2954861211334141,0.5,0.5,42,21,21,21,0.9126819126819127,0.90164,0.6559096092834059,0.6475808976683253
single_failure_head_ranked_against_cell_f060,xmodel,all,apical_f050,2402,211,0.08784346378018318,,0.7,rf,numeric_only,0.39473684210526316,0.7142857142857143,0.15606428766510677,0.3125,0.5952380952380952,80,25,55,17,0.8503118503118503,0.9738,0.6526749799788191,0.6396702469189709
single_failure_head_ranked_against_cell_f060,xmodel,all,apical_f050,2402,211,0.08784346378018318,,0.8,rf,full,0.38636363636363635,0.8095238095238095,0.1371676619090332,0.32954545454545453,0.6904761904761905,88,29,59,13,0.8503118503118503,0.9856,0.6559096092834059,0.6475808976683253
single_failure_head_ranked_against_cell_f060,xmodel,all,apical_f050,2402,211,0.08784346378018318,,0.9,rf,full,0.2331288343558282,0.9047619047619048,0.05629736549930821,0.24096385542168675,0.9523809523809523,166,40,126,2,0.7338877338877339,1.0,0.6559096092834059,0.6475808976683253
single_failure_head_ranked_against_cell_f060,xmodel,all,apical_f050,2402,211,0.08784346378018318,,0.95,rf,no_lab,0.19704433497536947,0.9523809523809523,0.031578021413875855,0.18779342723004694,0.9523809523809523,213,40,173,2,0.6361746361746362,1.0,0.6689910524419586,0.6451743034585061
