scope,feature_mode,test_seed,selected_model,selected_feature_set,n_train,n_val,n_test,n_bad_test,bad_rate_test,before_f1_mean,before_f1_p10,test_ap,test_auc,model_path,operating_point,target_value,validation_precision,validation_recall,score_threshold,reject_rate,n_rejected,precision_lt_target,recall_lt_target,binary_accuracy,kept_f1_p10,rejected_f1_mean,tp,fp,fn,tn,kept_f1_mean,kept_f1_p25
all,v12_oof,789,rf,no_lab,2856,958,2293,148,0.06454426515481901,0.9434018316615785,0.78374,0.40499044672318696,0.9109305109305109,paper/models/final_flag_multiseed_loso/all_v12_oof_testseed789_f060.joblib,fixed_reject_rate,0.1,,,,0.1,229,0.388646288209607,0.6013513513513513,0.9132141299607501,0.98693,0.7149262008733624,89,140,59,2005,0.9687511143410853,1.0
pyramidal,compact,123,rf,numeric_only,1956,650,1745,177,0.101432664756447,0.9137579369627506,0.59544,0.5023276927502832,0.8897512394788424,paper/models/final_flag_multiseed_loso/pyramidal_compact_testseed123_f060.joblib,validation_recall,0.8,0.5616438356164384,0.803921568627451,0.3926008996687768,0.14498567335243553,253,0.45454545454545453,0.6497175141242938,0.8853868194842407,0.9064,0.6590683794466403,115,138,62,1430,,
pyramidal,compact,123,rf,numeric_only,1956,650,1745,177,0.101432664756447,0.9137579369627506,0.59544,0.5023276927502832,0.8897512394788424,paper/models/final_flag_multiseed_loso/pyramidal_compact_testseed123_f060.joblib,fixed_reject_rate,0.1,,,,0.1,174,0.4885057471264368,0.480225988700565,0.8962750716332378,0.7723,0.6282701149425287,85,89,92,1479,0.9453778485041374,1.0
pyramidal,compact,42,rf,full,2045,684,1662,145,0.08724428399518652,0.926966365824308,0.6333,0.5553397391409766,0.9119314436387606,paper/models/final_flag_multiseed_loso/pyramidal_compact_testseed42_f060.joblib,validation_recall,0.8,0.5384615384615384,0.8032786885245902,0.45210806095834577,0.10589651022864019,176,0.5511363636363636,0.6689655172413793,0.9235860409145608,0.89445,0.6318590909090909,97,79,48,1438,,
pyramidal,compact,42,rf,full,2045,684,1662,145,0.08724428399518652,0.926966365824308,0.6333,0.5553397391409766,0.9119314436387606,paper/models/final_flag_multiseed_loso/pyramidal_compact_testseed42_f060.joblib,fixed_reject_rate,0.1,,,,0.1,166,0.5542168674698795,0.6344827586206897,0.9235860409145608,0.881,0.6248216867469879,92,74,53,1443,0.9604931149732621,1.0
pyramidal,compact,789,hgb,no_lab,2060,693,1618,117,0.0723114956736712,0.9346059950556243,0.6563,0.398041691941863,0.8931823228958473,paper/models/final_flag_multiseed_loso/pyramidal_compact_testseed789_f060.joblib,validation_recall,0.8,0.3522012578616352,0.8,0.09277846411057036,0.34363411619283063,556,0.18345323741007194,0.8717948717948718,0.7101359703337453,1.0,0.8507311151079135,102,454,15,1047,,
pyramidal,compact,789,hgb,no_lab,2060,693,1618,117,0.0723114956736712,0.9346059950556243,0.6563,0.398041691941863,0.8931823228958473,paper/models/final_flag_multiseed_loso/pyramidal_compact_testseed789_f060.joblib,fixed_reject_rate,0.1,,,,0.1,162,0.4567901234567901,0.6324786324786325,0.919035846724351,0.952,0.6681246913580247,74,88,43,1413,0.9642557005494504,1.0
pyramidal,branch3,123,extra_trees,full,1956,650,1745,177,0.101432664756447,0.9137579369627506,0.59544,0.4968727375153411,0.8837195895307275,paper/models/final_flag_multiseed_loso/pyramidal_branch3_testseed123_f060.joblib,validation_recall,0.8,0.6029411764705882,0.803921568627451,0.6235101198292831,0.12550143266475644,219,0.4885844748858447,0.6045197740112994,0.8957020057306591,0.8646,0.6255031963470321,107,112,70,1456,,
pyramidal,branch3,123,extra_trees,full,1956,650,1745,177,0.101432664756447,0.9137579369627506,0.59544,0.4968727375153411,0.8837195895307275,paper/models/final_flag_multiseed_loso/pyramidal_branch3_testseed123_f060.joblib,fixed_reject_rate,0.1,,,,0.1,174,0.5229885057471264,0.5141242937853108,0.9031518624641833,0.7962,0.6009637931034483,91,83,86,1485,0.948402227880331,1.0
pyramidal,branch3,42,rf,no_lab,2045,684,1662,145,0.08724428399518652,0.926966365824308,0.6333,0.5373133578995366,0.9079989998408838,paper/models/final_flag_multiseed_loso/pyramidal_branch3_testseed42_f060.joblib,validation_recall,0.8,0.5697674418604651,0.8032786885245902,0.44952603762599097,0.10288808664259928,171,0.5614035087719298,0.6620689655172414,0.9253910950661853,0.8934,0.6280777777777778,96,75,49,1442,,
pyramidal,branch3,42,rf,no_lab,2045,684,1662,145,0.08724428399518652,0.926966365824308,0.6333,0.5373133578995366,0.9079989998408838,paper/models/final_flag_multiseed_loso/pyramidal_branch3_testseed42_f060.joblib,fixed_reject_rate,0.1,,,,0.1,166,0.5602409638554217,0.6413793103448275,0.9247894103489771,0.88285,0.6251132530120482,93,73,52,1444,0.9604607620320854,1.0
pyramidal,branch3,789,hgb,full,2060,693,1618,117,0.0723114956736712,0.9346059950556243,0.6563,0.4117269303411756,0.8984153014799251,paper/models/final_flag_multiseed_loso/pyramidal_branch3_testseed789_f060.joblib,validation_recall,0.8,0.34355828220858897,0.8,0.08809172068696053,0.32818294190358466,531,0.192090395480226,0.8717948717948718,0.7255871446229913,1.0,0.8429529190207157,102,429,15,1072,,
pyramidal,branch3,789,hgb,full,2060,693,1618,117,0.0723114956736712,0.9346059950556243,0.6563,0.4117269303411756,0.8984153014799251,paper/models/final_flag_multiseed_loso/pyramidal_branch3_testseed789_f060.joblib,fixed_reject_rate,0.1,,,,0.1,162,0.4567901234567901,0.6324786324786325,0.919035846724351,0.9434,0.670212962962963,74,88,43,1413,0.9640233516483516,1.0
pyramidal,baseline_oof,123,hgb,no_lab,1956,650,1745,177,0.101432664756447,0.9137579369627506,0.59544,0.6434056303683426,0.909698201314424,paper/models/final_flag_multiseed_loso/pyramidal_baseline_oof_testseed123_f060.joblib,validation_recall,0.8,0.7321428571428571,0.803921568627451,0.5412325333164659,0.10429799426934097,182,0.5604395604395604,0.576271186440678,0.9111747851002865,0.8091400000000001,0.5947104395604396,102,80,75,1488,,
pyramidal,baseline_oof,123,hgb,no_lab,1956,650,1745,177,0.101432664756447,0.9137579369627506,0.59544,0.6434056303683426,0.909698201314424,paper/models/final_flag_multiseed_loso/pyramidal_baseline_oof_testseed123_f060.joblib,fixed_reject_rate,0.1,,,,0.1,174,0.5862068965517241,0.576271186440678,0.9157593123209169,0.8083,0.5799879310344828,102,72,75,1496,0.9507254614894971,1.0
