seed,ablation,ablation_label,file,cell_type_gt,stage1_pred,stage1_conf,n_nodes,accuracy,neurite_macro_f1,soma_f1,axon_f1,basal_f1,apical_f1,pred_soma,pred_axon,pred_basal,pred_apical
123,stage2_gnn_stage3_gt_celltype,Stage2 + GNN + Stage3 (GT cell type),allen__H16.06.012.11.06.01_548408551.swc,pyramidal,,,15940,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,7027,4125,4787
123,full_branch3_gt_celltype,Full Branch3 (GT cell type),allen__H16.06.012.11.06.01_548408551.swc,pyramidal,,,15940,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,7027,4125,4787
123,full_branch3_stage1_active,Full Branch3 (Stage1 active),allen__H16.06.012.11.06.01_548408551.swc,pyramidal,pyramidal,0.982999,15940,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,7027,4125,4787
123,stage2_only_gt_celltype,Stage2 only (GT cell type),allen__H16.06.012.11.08.03_548440226.swc,pyramidal,,,29702,0.962595,0.949500,1.000000,0.970600,0.983600,0.894200,1,19430,6492,3779
123,stage2_gnn_gt_celltype,Stage2 + GNN (GT cell type),allen__H16.06.012.11.08.03_548440226.swc,pyramidal,,,29702,0.962056,0.948400,1.000000,0.970600,0.982400,0.892100,1,19430,6508,3763
123,stage2_gnn_stage3_gt_celltype,Stage2 + GNN + Stage3 (GT cell type),allen__H16.06.012.11.08.03_548440226.swc,pyramidal,,,29702,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,18319,6709,4673
123,full_branch3_gt_celltype,Full Branch3 (GT cell type),allen__H16.06.012.11.08.03_548440226.swc,pyramidal,,,29702,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,18319,6709,4673
123,full_branch3_stage1_active,Full Branch3 (Stage1 active),allen__H16.06.012.11.08.03_548440226.swc,pyramidal,pyramidal,0.976293,29702,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,18319,6709,4673
123,stage2_only_gt_celltype,Stage2 only (GT cell type),allen__H17.03.002.11.06.03_569821470.swc,pyramidal,,,20269,0.978539,0.955700,1.000000,0.986400,0.965700,0.915100,1,16167,2846,1255
123,stage2_gnn_gt_celltype,Stage2 + GNN (GT cell type),allen__H17.03.002.11.06.03_569821470.swc,pyramidal,,,20269,0.978539,0.955700,1.000000,0.986400,0.965700,0.915100,1,16167,2846,1255
123,stage2_gnn_stage3_gt_celltype,Stage2 + GNN + Stage3 (GT cell type),allen__H17.03.002.11.06.03_569821470.swc,pyramidal,,,20269,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,15732,3048,1488
123,full_branch3_gt_celltype,Full Branch3 (GT cell type),allen__H17.03.002.11.06.03_569821470.swc,pyramidal,,,20269,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,15732,3048,1488
123,full_branch3_stage1_active,Full Branch3 (Stage1 active),allen__H17.03.002.11.06.03_569821470.swc,pyramidal,interneuron,0.872447,20269,0.926587,0.601300,1.000000,1.000000,0.803800,0.000000,1,15732,4536,0
123,stage2_only_gt_celltype,Stage2 only (GT cell type),allen__H17.03.009.11.11.06_613442532.swc,pyramidal,,,4357,0.712876,0.473100,1.000000,0.000000,0.629000,0.790300,1,255,1847,2254
123,stage2_gnn_gt_celltype,Stage2 + GNN (GT cell type),allen__H17.03.009.11.11.06_613442532.swc,pyramidal,,,4357,0.712876,0.473100,1.000000,0.000000,0.629000,0.790300,1,255,1847,2254
123,stage2_gnn_stage3_gt_celltype,Stage2 + GNN + Stage3 (GT cell type),allen__H17.03.009.11.11.06_613442532.swc,pyramidal,,,4357,0.764287,0.486800,1.000000,0.000000,0.625900,0.834500,1,0,1886,2470
123,full_branch3_gt_celltype,Full Branch3 (GT cell type),allen__H17.03.009.11.11.06_613442532.swc,pyramidal,,,4357,0.764287,0.486800,1.000000,0.000000,0.625900,0.834500,1,0,1886,2470
123,full_branch3_stage1_active,Full Branch3 (Stage1 active),allen__H17.03.009.11.11.06_613442532.swc,pyramidal,pyramidal,0.922842,4357,0.764287,0.486800,1.000000,0.000000,0.625900,0.834500,1,0,1886,2470
123,stage2_only_gt_celltype,Stage2 only (GT cell type),hpf_ca1__201983_017_edited.swc,pyramidal,,,10101,0.923869,0.927100,1.000000,0.938800,1.000000,0.842500,1,6664,1380,2056
123,stage2_gnn_gt_celltype,Stage2 + GNN (GT cell type),hpf_ca1__201983_017_edited.swc,pyramidal,,,10101,0.923869,0.927100,1.000000,0.938800,1.000000,0.842500,1,6664,1380,2056
123,stage2_gnn_stage3_gt_celltype,Stage2 + GNN + Stage3 (GT cell type),hpf_ca1__201983_017_edited.swc,pyramidal,,,10101,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,5895,1380,2825
123,full_branch3_gt_celltype,Full Branch3 (GT cell type),hpf_ca1__201983_017_edited.swc,pyramidal,,,10101,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,5895,1380,2825
123,full_branch3_stage1_active,Full Branch3 (Stage1 active),hpf_ca1__201983_017_edited.swc,pyramidal,pyramidal,0.997166,10101,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,5895,1380,2825
123,stage2_only_gt_celltype,Stage2 only (GT cell type),hpf_ca1__201990_006_edited.swc,pyramidal,,,66497,0.998842,0.993600,1.000000,0.999400,1.000000,0.981300,1,62772,1699,2025
123,stage2_gnn_gt_celltype,Stage2 + GNN (GT cell type),hpf_ca1__201990_006_edited.swc,pyramidal,,,66497,0.998842,0.993600,1.000000,0.999400,1.000000,0.981300,1,62772,1699,2025
123,stage2_gnn_stage3_gt_celltype,Stage2 + GNN + Stage3 (GT cell type),hpf_ca1__201990_006_edited.swc,pyramidal,,,66497,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,62695,1699,2102
123,full_branch3_gt_celltype,Full Branch3 (GT cell type),hpf_ca1__201990_006_edited.swc,pyramidal,,,66497,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,62695,1699,2102
123,full_branch3_stage1_active,Full Branch3 (Stage1 active),hpf_ca1__201990_006_edited.swc,pyramidal,pyramidal,0.995467,66497,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,62695,1699,2102
123,stage2_only_gt_celltype,Stage2 only (GT cell type),hpf_ca1__201990_018_edited.swc,pyramidal,,,8684,0.861815,0.656100,1.000000,0.909400,0.959000,0.100000,1,7220,1403,60
123,stage2_gnn_gt_celltype,Stage2 + GNN (GT cell type),hpf_ca1__201990_018_edited.swc,pyramidal,,,8684,0.854906,0.616400,1.000000,0.909400,0.939700,0.000000,1,7220,1463,0
123,stage2_gnn_stage3_gt_celltype,Stage2 + GNN + Stage3 (GT cell type),hpf_ca1__201990_018_edited.swc,pyramidal,,,8684,0.868724,0.575900,1.000000,1.000000,0.727700,0.000000,1,6020,2663,0
123,full_branch3_gt_celltype,Full Branch3 (GT cell type),hpf_ca1__201990_018_edited.swc,pyramidal,,,8684,0.868724,0.575900,1.000000,1.000000,0.727700,0.000000,1,6020,2663,0
123,full_branch3_stage1_active,Full Branch3 (Stage1 active),hpf_ca1__201990_018_edited.swc,pyramidal,pyramidal,0.996914,8684,0.868724,0.575900,1.000000,1.000000,0.727700,0.000000,1,6020,2663,0
123,stage2_only_gt_celltype,Stage2 only (GT cell type),hpf_ca1__201990_024_edited.swc,pyramidal,,,22256,0.942577,0.570000,1.000000,0.997800,0.000000,0.712200,1,19482,0,2773
123,stage2_gnn_gt_celltype,Stage2 + GNN (GT cell type),hpf_ca1__201990_024_edited.swc,pyramidal,,,22256,0.984454,0.927600,1.000000,0.997800,0.900500,0.884500,1,19482,1456,1317
123,stage2_gnn_stage3_gt_celltype,Stage2 + GNN + Stage3 (GT cell type),hpf_ca1__201990_024_edited.swc,pyramidal,,,22256,0.946262,0.578400,1.000000,1.000000,0.000000,0.735300,1,19398,0,2857
