row_id,model_seed,file,n_nodes_conf,stage1_pred_conf_run,stage1_conf_conf_run,pred_axon_conf_run,pred_basal_conf_run,pred_apical_conf_run,node_label_disagree_frac,node_conf_abs_delta_mean,branch3_changed_frac,branch3_label_disagree_frac,branch3_conf_abs_delta_mean,branch3_axon_delta_frac,branch3_basal_delta_frac,branch3_apical_delta_frac,branch3_to_apical_frac,branch3_from_apical_frac,conf_mean,conf_std,conf_min,conf_p05,conf_p10,conf_p25,conf_median,conf_frac_lt_05,conf_frac_lt_06,conf_frac_lt_07,conf_frac_lt_08,conf_frac_lt_09,axon_conf_mean,axon_conf_p10,axon_conf_frac_lt_07,basal_conf_mean,basal_conf_p10,basal_conf_frac_lt_07,apical_conf_mean,apical_conf_p10,apical_conf_frac_lt_07,n_pred_branches,branch_conf_mean,branch_conf_min,branch_conf_p10,branch_frac_conf_lt_07,branch_frac_conf_lt_08,branch_n_nodes_p90,pred_soma_z,pred_axon_z_extent,pred_axon_z_mean_rel_soma,pred_axon_z_std,pred_axon_x_extent,pred_axon_y_extent,pred_basal_z_extent,pred_basal_z_mean_rel_soma,pred_basal_z_std,pred_basal_x_extent,pred_basal_y_extent,pred_apical_z_extent,pred_apical_z_mean_rel_soma,pred_apical_z_std,pred_apical_x_extent,pred_apical_y_extent
seed789:neuromorpho__hippo-99-6.swc,789,neuromorpho__hippo-99-6.swc,74,pyramidal,0.989689,0,73,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99837,0.000190751,0.998348,0.998348,0.998348,0.998348,0.998348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998348,0.998348,0.0,0.0,0.0,0.0,21,0.998427,0.998348,0.998348,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,32.09,-2.71096,8.84716,136.05,161.94,0.0,0.0,0.0,0.0,0.0
seed789:neuromorpho__hippo169-6.swc,789,neuromorpho__hippo169-6.swc,64,pyramidal,0.99394,0,63,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998374,0.000204893,0.998348,0.998348,0.998348,0.998348,0.998348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998348,0.998348,0.0,0.0,0.0,0.0,16,0.998451,0.998348,0.998348,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,55.74,24.6729,17.8486,74.37,108.69,0.0,0.0,0.0,0.0,0.0
seed789:neuromorpho__hippo223-2.swc,789,neuromorpho__hippo223-2.swc,153,pyramidal,0.992744,0,152,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998359,0.000133127,0.998348,0.998348,0.998348,0.998348,0.998348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998348,0.998348,0.0,0.0,0.0,0.0,35,0.998395,0.998348,0.998348,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,46.98,-12.7197,11.1899,157.73,155.0,0.0,0.0,0.0,0.0,0.0
seed789:neuromorpho__hippo284-2.swc,789,neuromorpho__hippo284-2.swc,135,pyramidal,0.990982,0,134,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99836,0.000141663,0.998348,0.998348,0.998348,0.998348,0.998348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998348,0.998348,0.0,0.0,0.0,0.0,40,0.998389,0.998348,0.998348,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,13.02,-4.20672,4.94967,112.12,188.43,0.0,0.0,0.0,0.0,0.0
seed789:neuromorpho__hippo284-4.swc,789,neuromorpho__hippo284-4.swc,149,pyramidal,0.998397,0,148,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998359,0.000134891,0.998348,0.998348,0.998348,0.998348,0.998348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998348,0.998348,0.0,0.0,0.0,0.0,35,0.998395,0.998348,0.998348,0.0,0.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,48.79,-17.9778,13.7578,138.14,167.93,0.0,0.0,0.0,0.0,0.0
seed789:neuromorpho__hippo285-3.swc,789,neuromorpho__hippo285-3.swc,89,pyramidal,0.998438,0,88,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998366,0.000174136,0.998348,0.998348,0.998348,0.998348,0.998348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998348,0.998348,0.0,0.0,0.0,0.0,27,0.998409,0.998348,0.998348,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,38.76,-11.752,12.9235,89.22,129.3,0.0,0.0,0.0,0.0,0.0
seed789:neuromorpho__hippo285-5.swc,789,neuromorpho__hippo285-5.swc,149,pyramidal,0.996809,0,148,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998359,0.000134891,0.998348,0.998348,0.998348,0.998348,0.998348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998348,0.998348,0.0,0.0,0.0,0.0,38,0.998391,0.998348,0.998348,0.0,0.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,44.83,5.57284,10.354,154.39,173.44,0.0,0.0,0.0,0.0,0.0
seed789:neuromorpho__hippo285-6.swc,789,neuromorpho__hippo285-6.swc,142,pyramidal,0.997624,0,141,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99836,0.000138152,0.998348,0.998348,0.998348,0.998348,0.998348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998348,0.998348,0.0,0.0,0.0,0.0,37,0.998393,0.998348,0.998348,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,56.94,-4.62965,13.1425,133.69,137.81,0.0,0.0,0.0,0.0,0.0
seed789:neuromorpho__hippo286-6.swc,789,neuromorpho__hippo286-6.swc,99,pyramidal,0.980587,0,98,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998365,0.000165202,0.998348,0.998348,0.998348,0.998348,0.998348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998348,0.998348,0.0,0.0,0.0,0.0,29,0.998405,0.998348,0.998348,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,43.34,-2.55602,11.2233,80.23,139.16,0.0,0.0,0.0,0.0,0.0
seed789:neuromorpho__hippo303-1.swc,789,neuromorpho__hippo303-1.swc,73,pyramidal,0.997827,0,72,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998371,0.000192035,0.998348,0.998348,0.998348,0.998348,0.998348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998348,0.998348,0.0,0.0,0.0,0.0,25,0.998414,0.998348,0.998348,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,29.09,-10.5928,8.50596,69.52,206.26,0.0,0.0,0.0,0.0,0.0
seed789:neuromorpho__hippo305-3.swc,789,neuromorpho__hippo305-3.swc,81,pyramidal,0.993035,0,80,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998368,0.00018243,0.998348,0.998348,0.998348,0.998348,0.998348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998348,0.998348,0.0,0.0,0.0,0.0,25,0.998414,0.998348,0.998348,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,40.3,6.757,11.4844,128.13,68.16,0.0,0.0,0.0,0.0,0.0
seed789:neuromorpho__hippo305-5.swc,789,neuromorpho__hippo305-5.swc,94,pyramidal,0.99726,0,93,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998365,0.000169493,0.998348,0.998348,0.998348,0.998348,0.998348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998348,0.998348,0.0,0.0,0.0,0.0,22,0.998423,0.998348,0.998348,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,49.98,-8.94935,12.4679,67.68,145.06,0.0,0.0,0.0,0.0,0.0
seed789:neuromorpho__hippo367-7.swc,789,neuromorpho__hippo367-7.swc,127,pyramidal,0.99705,0,126,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998361,0.000146022,0.998348,0.998348,0.998348,0.998348,0.998348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998348,0.998348,0.0,0.0,0.0,0.0,33,0.998398,0.998348,0.998348,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,24.24,-19.4008,8.09204,159.92,107.23,0.0,0.0,0.0,0.0,0.0
