name,n_nodes,predicted_cell_type,stage1_correct,neurite_macro_f1,macro_f1,accuracy,n_apical_gt,n_basal_gt,n_axon_gt
neuromorpho__Cell6_Subiculum_singlecell.swc,587,interneuron,True,1.0,1.0,1.0,0,299,287
neuromorpho__Cell7_Hippocampus_singlecell.swc,527,interneuron,True,0.969,0.9793,0.9734,0,369,157
neuromorpho__Cell7_Subiculum_singlecell.swc,513,interneuron,True,0.3678,0.5785,0.4055,0,347,165
neuromorpho__Cell8_Subiculum_singlecell.swc,490,interneuron,True,0.536,0.6907,0.5612,0,408,81
neuromorpho__Chat-IRES-Cre-neo_Ai14-280700-06-01-01_614430437_m.swc,11680,interneuron,True,1.0,1.0,1.0,0,2474,9205
neuromorpho__Chat-IRES-Cre-neo_Ai14-287662-04-02-01_614444566_m.swc,3840,interneuron,True,1.0,1.0,1.0,0,2572,1267
neuromorpho__Chat-IRES-Cre-neo_Ai14-307622-05-02-01_610885676_m.swc,7566,interneuron,True,1.0,1.0,1.0,0,2793,4772
neuromorpho__Chat-IRES-Cre-neo_Ai14-308245-04-02-01_605859502_m.swc,8427,interneuron,True,1.0,1.0,1.0,0,2642,5784
neuromorpho__Chat-IRES-Cre-neo_Ai14-308247-03-02-01_648990126_m.swc,5826,interneuron,True,1.0,1.0,1.0,0,2601,3224
neuromorpho__Chat-IRES-Cre-neo_Ai14-308248-03-02-01_610885758_m.swc,3989,interneuron,True,1.0,1.0,1.0,0,2839,1149
neuromorpho__Chat-IRES-Cre-neo_Ai14-313181-04-02-01_610885831_m.swc,4292,interneuron,True,1.0,1.0,1.0,0,2226,2065
neuromorpho__Chat-IRES-Cre-neo_Ai14-316041-04-02-01_610885974_m.swc,4600,interneuron,True,1.0,1.0,1.0,0,2892,1707
neuromorpho__Chat-IRES-Cre-neo_Ai14-316042-03-01-01_610873063_m.swc,7602,interneuron,True,1.0,1.0,1.0,0,2087,5514
neuromorpho__Chat-IRES-Cre-neo_Ai14-316042-05-01-01_605541518_m.swc,4878,interneuron,True,1.0,1.0,1.0,0,2493,2384
neuromorpho__Chat-IRES-Cre-neo_Ai14-316042-05-02-01_639670635_m.swc,6544,interneuron,True,1.0,1.0,1.0,0,3167,3376
neuromorpho__Chat-IRES-Cre-neo_Ai14-316042-06-01-01_636787957_m.swc,9289,interneuron,True,1.0,1.0,1.0,0,3546,5742
neuromorpho__Chat-IRES-Cre-neo_Ai14-316043-04-02-01_626158141_m.swc,5672,interneuron,True,1.0,1.0,1.0,0,1996,3675
neuromorpho__Chat-IRES-Cre-neo_Ai14-316043-05-01-01_610886034_m.swc,7465,interneuron,True,1.0,1.0,1.0,0,2867,4597
neuromorpho__Chat-IRES-Cre-neo_Ai14-316043-05-01-02_610872803_m.swc,5913,interneuron,True,1.0,1.0,1.0,0,1635,4277
neuromorpho__Chrna2-Cre_OE25_Ai14_BT_-280154-04-01-01_673136338_m.swc,14548,interneuron,True,1.0,1.0,1.0,0,2550,11997
neuromorpho__Chrna2-Cre_OE25_Ai14_BT_-281693-06-01-01_591276000_m.swc,17650,interneuron,True,1.0,1.0,1.0,0,2059,15590
neuromorpho__Chrna2-Cre_OE25_Ai14_IVSCC_-294465-05-01-01_650485582_m.swc,7901,interneuron,True,1.0,1.0,1.0,0,2421,5479
neuromorpho__Chrna2-Cre_OE25_Ai14_IVSCC_-294467-03-01-01_596793119_m.swc,18015,interneuron,True,1.0,1.0,1.0,0,1791,16223
neuromorpho__Chrna2-Cre_OE25_Pvalb-T2A-Dre_Ai66-312583-02-02-01_651087073_m.swc,18770,interneuron,True,1.0,1.0,1.0,0,2252,16517
neuromorpho__Diego-02-27-13-BR.swc,27082,interneuron,True,1.0,1.0,1.0,0,4145,22936
neuromorpho__Fig1_1.swc,7195,interneuron,True,1.0,1.0,1.0,0,274,6920
neuromorpho__Fig1b_140312-1rm6_int.swc,61212,interneuron,True,1.0,1.0,1.0,0,4216,56995
neuromorpho__Fig1E.swc,1687,interneuron,True,1.0,1.0,1.0,0,152,1534
neuromorpho__Fig1f_140909-2mg_int.swc,30815,interneuron,True,1.0,1.0,1.0,0,3964,26850
neuromorpho__Fig2_2.swc,7707,interneuron,True,1.0,1.0,1.0,0,680,7026
neuromorpho__Fig2a_cell1_1112071rm.swc,8103,interneuron,True,1.0,1.0,1.0,0,839,7263
neuromorpho__Fig2a_cell2_1404163rm.swc,10848,interneuron,True,1.0,1.0,1.0,0,1898,8949
neuromorpho__Fig2a_cell3_150625_5kb.swc,7123,interneuron,True,1.0,1.0,1.0,0,1185,5937
neuromorpho__Fig2a_cell4_151015-3rm.swc,6089,interneuron,True,1.0,1.0,1.0,0,1748,4340
neuromorpho__Fig2a_cell5_141009_2og.swc,7949,interneuron,True,1.0,1.0,1.0,0,1002,6946
neuromorpho__fig2b_1.swc,317,interneuron,True,1.0,1.0,1.0,0,272,44
neuromorpho__Fig2b_cell1_0904091kg.swc,39033,interneuron,True,0.9828,0.9885,0.9947,0,3186,35846
neuromorpho__Fig2b_cell2_0706084kg.swc,10848,interneuron,True,1.0,1.0,1.0,0,1898,8949
neuromorpho__Fig2C.swc,991,interneuron,True,0.3408,0.5605,0.4228,0,383,607
neuromorpho__fig2c_2.swc,3086,interneuron,True,1.0,1.0,1.0,0,385,2700
neuromorpho__Fig2c_cell1_1402022rm.swc,21049,interneuron,True,1.0,1.0,1.0,0,1113,19935
