name,n_nodes,predicted_cell_type,stage1_correct,neurite_macro_f1,macro_f1,accuracy,n_apical_gt,n_basal_gt,n_axon_gt
neuromorpho__5Ht3aCre-SABI-092717Cell4-v1.swc,11017,interneuron,True,1.0,1.0,1.0,0,3425,7591
neuromorpho__8may2015c1.swc,3626,pyramidal,False,0.4902,0.6601,0.3933,0,1482,2143
neuromorpho__9-07-15-B1.swc,371,interneuron,True,0.4676,0.6451,0.8787,0,325,45
neuromorpho__9-10-14-A.swc,4400,interneuron,True,0.4515,0.6343,0.8232,0,4254,145
neuromorpho__9-10-14-B.swc,12562,interneuron,True,1.0,1.0,1.0,0,1384,11177
neuromorpho__99_1.swc,309,interneuron,True,0.1988,0.5994,0.1133,0,308,0
neuromorpho__a151123-1_VIP_IN_only_dendrite.swc,582,interneuron,True,0.986,0.993,0.9725,0,581,0
neuromorpho__a151123-2_VIP_IN.swc,3619,pyramidal,False,0.5,0.6667,0.1332,0,481,3137
neuromorpho__a151123-3_VIP_IN_only_dendrite.swc,496,interneuron,True,0.9929,0.9964,0.9859,0,495,0
neuromorpho__a151124-1_VIP_IN_only_dendrite.swc,750,interneuron,True,0.996,0.998,0.992,0,749,0
neuromorpho__a151124-2_VIP_IN.swc,3213,interneuron,True,0.1651,0.4434,0.1979,0,635,2577
neuromorpho__a151124-3_VIP_IN_only_dendrite.swc,947,interneuron,True,0.9305,0.9652,0.8701,0,946,0
neuromorpho__A151125-2_VIP_IN.swc,2558,interneuron,True,0.5351,0.6901,0.5852,0,1167,1390
neuromorpho__A151125-3_VIP_IN.swc,2304,interneuron,True,0.8293,0.8862,0.8737,0,1593,710
neuromorpho__A151125-4_VIP_IN.swc,5117,interneuron,True,0.9457,0.9638,0.9623,0,1237,3879
neuromorpho__A151215-1_VIP_IN.swc,4995,interneuron,True,1.0,1.0,1.0,0,1090,3904
neuromorpho__A151218-02_VIP_IN.swc,4353,pyramidal,False,1.0,1.0,1.0,0,978,3374
neuromorpho__A160218-03_VIP_IN.swc,2835,pyramidal,False,0.5,0.6667,0.8127,0,531,2303
neuromorpho__AAS10.swc,344,pyramidal,False,0.2228,0.6114,0.1279,0,343,0
neuromorpho__AAS13.swc,520,pyramidal,False,0.3957,0.6978,0.2481,0,519,0
neuromorpho__AAS14.swc,2266,pyramidal,False,0.0053,0.5026,0.0031,0,2265,0
neuromorpho__AAS15.swc,1164,pyramidal,False,0.3181,0.6591,0.1899,0,1163,0
neuromorpho__AAS17.swc,437,interneuron,True,1.0,1.0,1.0,0,436,0
neuromorpho__AAS2.swc,3325,pyramidal,False,0.0078,0.5039,0.0042,0,3324,0
neuromorpho__AAS4.swc,1215,interneuron,True,0.3561,0.6781,0.2173,0,1214,0
neuromorpho__AAS5.swc,1692,pyramidal,False,0.4115,0.7057,0.2595,0,1691,0
neuromorpho__AAS6.swc,3033,pyramidal,False,0.5,0.6667,0.4883,0,1552,1480
neuromorpho__AAS8.swc,2575,interneuron,True,0.7342,0.8671,0.5802,0,2574,0
neuromorpho__AAS9.swc,1229,interneuron,True,0.9373,0.9686,0.882,0,1228,0
neuromorpho__B13a.swc,23693,interneuron,True,0.98,0.9867,0.9834,0,7061,16631
neuromorpho__B15a.swc,6786,pyramidal,False,0.6656,0.8328,0.4988,0,6785,0
neuromorpho__BC110530F_01.swc,117468,interneuron,True,0.8538,0.9026,0.9563,0,12126,105341
neuromorpho__BC111209D_02.swc,65383,interneuron,True,1.0,1.0,1.0,0,7339,58043
neuromorpho__BC120209A_03.swc,106653,interneuron,True,0.8628,0.9085,0.9524,0,12782,93870
neuromorpho__BC120301A_04.swc,105857,interneuron,True,0.7758,0.8505,0.9151,0,15695,90161
neuromorpho__BC120830F_05.swc,86607,interneuron,True,1.0,1.0,1.0,0,9408,77198
neuromorpho__BC130207C_06.swc,57603,interneuron,True,1.0,1.0,1.0,0,9594,48008
neuromorpho__BC130221A_07.swc,88031,interneuron,True,1.0,1.0,1.0,0,8587,79443
neuromorpho__BC130311C_09.swc,120347,interneuron,True,0.5565,0.7044,0.869,0,17540,102806
neuromorpho__BC130318C_10.swc,100593,interneuron,True,1.0,1.0,1.0,0,15891,84701
neuromorpho__BC130403A_11.swc,91776,interneuron,True,0.784,0.856,0.9007,0,16724,75051
neuromorpho__BC130403B_12.swc,118116,interneuron,True,0.8721,0.9148,0.9604,0,12329,105786
neuromorpho__BC130405C_13.swc,136158,interneuron,True,0.8755,0.917,0.9588,0,15008,121149
neuromorpho__BC130503A_15.swc,126401,interneuron,True,0.8531,0.902,0.9637,0,10646,115754
neuromorpho__BC130514A_16.swc,62020,interneuron,True,0.9315,0.9543,0.952,0,15529,46490
neuromorpho__BC130705A_17.swc,61122,interneuron,True,1.0,1.0,1.0,0,6330,54791
neuromorpho__BC130805A_18.swc,97342,interneuron,True,1.0,1.0,1.0,0,9411,87930
neuromorpho__BC130819B_19.swc,85710,interneuron,True,0.8648,0.9099,0.9519,0,10523,75186
neuromorpho__BC130916B_20.swc,117489,interneuron,True,0.8441,0.8961,0.9451,0,14700,102788
neuromorpho__BC140212B_21.swc,65330,interneuron,True,0.8188,0.8792,0.9222,0,10524,54805
neuromorpho__BC140213F_22.swc,68356,interneuron,True,0.8721,0.9147,0.9381,0,11691,56664
neuromorpho__BC140219A_23.swc,64196,interneuron,True,0.8819,0.9212,0.9492,0,9288,54907
