file,n_nodes_conf,stage1_pred_conf_run,stage1_conf_conf_run,pred_axon_conf_run,pred_basal_conf_run,pred_apical_conf_run,node_label_disagree_frac,node_conf_abs_delta_mean,branch3_changed_frac,branch3_label_disagree_frac,branch3_conf_abs_delta_mean,branch3_axon_delta_frac,branch3_basal_delta_frac,branch3_apical_delta_frac,branch3_to_apical_frac,branch3_from_apical_frac,conf_mean,conf_std,conf_min,conf_p05,conf_p10,conf_p25,conf_median,conf_frac_lt_05,conf_frac_lt_06,conf_frac_lt_07,conf_frac_lt_08,conf_frac_lt_09,axon_conf_mean,axon_conf_p10,axon_conf_frac_lt_07,basal_conf_mean,basal_conf_p10,basal_conf_frac_lt_07,apical_conf_mean,apical_conf_p10,apical_conf_frac_lt_07,n_pred_branches,branch_conf_mean,branch_conf_min,branch_conf_p10,branch_frac_conf_lt_07,branch_frac_conf_lt_08,branch_n_nodes_p90,pred_soma_z,pred_axon_z_extent,pred_axon_z_mean_rel_soma,pred_axon_z_std,pred_axon_x_extent,pred_axon_y_extent,pred_basal_z_extent,pred_basal_z_mean_rel_soma,pred_basal_z_std,pred_basal_x_extent,pred_basal_y_extent,pred_apical_z_extent,pred_apical_z_mean_rel_soma,pred_apical_z_std,pred_apical_x_extent,pred_apical_y_extent
neuromorpho__A3_slide2_9.swc,2087,pyramidal,0.959392,64,770,1252,0,0,0,0,0,0,0,0,0,0,0.975148,0.0745745,0.3,0.981676,0.982145,0.982145,0.982145,0.0119789,0.0119789,0.0119789,0.0119789,0.0119789,0.953767,0.953767,0,0.987703,0.987703,0,0.9685,0.982145,0.0199681,107,0.982391,0.3,0.982145,0,0,37,-9.78385,2.22,2.2051,1.03815,11.65,90.46,63.46,6.97204,14.2339,187.67,225.89,90.5,5.47326,15.7738,332.55,240.2
neuromorpho__A3_slide2_neuron1.swc,404,pyramidal,0.981055,6,156,241,0,0,0,0,0,0,0,0,0,0,0.974876,0.0566497,0.636766,0.981639,0.981639,0.982145,0.982145,0,0,0.0272277,0.0272277,0.0272277,0.994317,0.994317,0,0.962958,0.987703,0.0705128,0.982002,0.981639,0,54,0.97805,0.636766,0.981639,0.0185185,0.0185185,13.7,-18.9682,1.02,3.87818,0.480833,15.87,19.51,51,3.56882,8.82876,270.22,321.35,78.69,11.9893,14.4022,238.34,352.07
neuromorpho__A3_slide2_neuron4.swc,396,pyramidal,0.980861,26,216,153,0,0,0,0,0,0,0,0,0,0,0.924864,0.191934,0.3,0.3,0.905891,0.982145,0.987703,0.0858586,0.0858586,0.0858586,0.0858586,0.0858586,0.673863,0.3,0.461538,0.948894,0.987703,0.0509259,0.933102,0.982145,0.0718954,39,0.96278,0.3,0.917284,0.025641,0.0769231,20.4,-14.1611,53.25,-15.5297,16.975,116.55,256.9,86.35,-8.41222,20.2602,169.92,275.48,74.26,-11.2535,18.4858,242.39,374.48
neuromorpho__A3_slide3_14.swc,361,pyramidal,0.990465,52,143,165,0,0,0,0,0.0263891,0,0,0,0,0,0.919198,0.193815,0.3,0.3,0.929819,0.981639,0.982145,0.0886427,0.0886427,0.0886427,0.0886427,0.0886427,0.567079,0.3,0.615385,0.987703,0.987703,0,0.970307,0.931443,0,50,0.969316,0.3,0.931835,0.02,0.02,12,-14.5488,43.71,-11.6328,11.5762,146.55,519.07,81.97,-3.53622,21.4082,155.37,214.39,81.94,-5.95264,13.5462,197.57,281.33
neuromorpho__A3_slide3_22.swc,450,pyramidal,0.990905,17,152,280,0,0,0,0,0,0,0,0,0,0,0.971199,0.0904326,0.3,0.962653,0.982145,0.982145,0.982145,0.0177778,0.0177778,0.0177778,0.0177778,0.0177778,0.962653,0.962653,0,0.987703,0.987703,0,0.962655,0.982145,0.0285714,63,0.980897,0.3,0.982145,0,0.015873,14,-12.0975,37.99,31.9263,13.1593,104.93,19.47,83.24,26.0316,20.0905,270.19,146.38,95.78,32.719,22.5304,181.23,500.34
neuromorpho__A3_slide3_23.swc,566,pyramidal,0.916857,8,202,355,0,0,0,0,0,0,0,0,0,0,0.830621,0.285431,0.3,0.3,0.3,0.982145,0.982145,0.224382,0.224382,0.224382,0.224382,0.224382,0.955912,0.955912,0,0.950254,0.987703,0.0544554,0.759247,0.3,0.326761,29,0.87577,0.3,0.3,0.137931,0.172414,50.6,-19.9531,0,4.44308,0,6.49,6.6,56.4,13.0518,16.4387,320.67,232.3,112.33,7.89212,21.9895,113.63,483.61
neuromorpho__A3_slide3_3.swc,472,pyramidal,0.993701,16,169,286,0,0,0,0,0,0,0,0,0,0,0.954239,0.141212,0.3,0.982145,0.982145,0.982145,0.982145,0.0444915,0.0444915,0.0444915,0.0444915,0.0444915,0.994405,0.994405,0,0.987703,0.987703,0,0.932057,0.982145,0.0734266,60,0.978761,0.3,0.982145,0.0166667,0.0166667,15.1,-12.5543,17.3,-11.8026,6.13902,32.39,145.97,94.85,19.6888,22.6225,311.26,269.63,112.81,-3.96995,23.86,260.15,506.96
neuromorpho__A3_slide3_neuron6.swc,579,pyramidal,0.989224,15,289,274,0,0,0,0,0,0,0,0,0,0,0.941331,0.165308,0.3,0.3,0.982145,0.982145,0.982145,0.0621762,0.0621762,0.0621762,0.0621762,0.0621762,0.940273,0.940273,0,0.973298,0.987703,0.0207612,0.907457,0.3,0.109489,75,0.973622,0.3,0.982145,0.0266667,0.0266667,15,-16.6582,24.34,24.5048,8.99928,36.45,135.24,71.63,1.32451,17.8647,320.27,378.17,84.12,4.58647,17.0786,352.91,394.5
neuromorpho__A4-6-2-2-15-JUN-2_final.swc,809,pyramidal,0.989523,0,808,0,0,0,0,0,0,0,0,0,0,0,0.987718,0.000432064,0.987703,0.987703,0.987703,0.987703,0.987703,0,0,0,0,0,0,0,0,0.987703,0.987703,0,0,0,0,33,0.988076,0.987703,0.987703,0,0,44.8,0,0,0,0,0,0,0,0,0,64.82,81.7,0,0,0,0,0
neuromorpho__A4_slide1_1.swc,288,pyramidal,0.957057,6,118,163,0,0,0,0,0,0,0,0,0,0,0.920653,0.199647,0.3,0.3,0.981639,0.982145,0.982145,0.09375,0.09375,0.09375,0.09375,0.09375,0.994317,0.994317,0,0.987425,0.987703,0,0.869117,0.3,0.165644,34,0.93792,0.3,0.981653,0.0588235,0.0882353,15.7,14.08,6.35,-3.195,3.175,6.53,16.22,75.41,30.6033,20.9594,225.16,187.02,76.52,38.9353,18.0709,286.11,633.33
