experiment,feature_mode,subset,target,n_rows,n_bad,bad_rate,saved_bundle,target_recall,model_name,feature_set,val_precision,val_recall,score_threshold,test_precision,test_recall,test_n_rejected,test_tp,test_fp,test_fn,test_accuracy,test_kept_f1_p10,val_ap,test_ap
single_failure_head_ranked_against_cell_f060,xmodel,all,apical_f050,2402,211,0.08784346378018318,,0.5,rf,no_lab,0.44680851063829785,0.5,0.32945635228693176,0.42,0.5,50,21,29,21,0.896049896049896,0.8994,0.36769907122490686,0.48022807196017175
single_failure_head_ranked_against_cell_f060,xmodel,all,apical_f050,2402,211,0.08784346378018318,,0.7,gb,full,0.25,0.7142857142857143,0.021452906022842652,0.24786324786324787,0.6904761904761905,117,29,88,13,0.7900207900207901,0.97656,0.24009198661614004,0.4370234006179464
single_failure_head_ranked_against_cell_f060,xmodel,all,apical_f050,2402,211,0.08784346378018318,,0.8,rf,full,0.2,0.8095238095238095,0.06387343216604736,0.19428571428571428,0.8095238095238095,175,34,141,8,0.6902286902286903,0.9915,0.3531474343548854,0.4786994690300628
single_failure_head_ranked_against_cell_f060,xmodel,all,apical_f050,2402,211,0.08784346378018318,,0.9,rf,no_lab,0.18009478672985782,0.9047619047619048,0.03603077102984998,0.16203703703703703,0.8333333333333334,216,35,181,7,0.6091476091476091,1.0,0.36769907122490686,0.48022807196017175
single_failure_head_ranked_against_cell_f060,xmodel,all,apical_f050,2402,211,0.08784346378018318,,0.95,gb,full,0.1568627450980392,0.9523809523809523,0.008084737295706962,0.13382899628252787,0.8571428571428571,269,36,233,6,0.5031185031185031,1.0,0.24009198661614004,0.4370234006179464
two_stage_max_failure_heads,xmodel,all,cell_f060+axon_f050+basal_f060+apical_f050,2402,211,0.08784346378018318,,0.5,two_stage,max_validation_percentile,0.5384615384615384,0.5,0.975051975051975,0.45454545454545453,0.47619047619047616,44,20,24,22,0.9043659043659044,0.91172,,
two_stage_max_failure_heads,xmodel,all,cell_f060+axon_f050+basal_f060+apical_f050,2402,211,0.08784346378018318,,0.7,two_stage,max_validation_percentile,0.43478260869565216,0.7142857142857143,0.9459459459459459,0.4307692307692308,0.6666666666666666,65,28,37,14,0.893970893970894,0.9768,,
two_stage_max_failure_heads,xmodel,all,cell_f060+axon_f050+basal_f060+apical_f050,2402,211,0.08784346378018318,,0.8,two_stage,max_validation_percentile,0.3300970873786408,0.8095238095238095,0.918918918918919,0.36666666666666664,0.7857142857142857,90,33,57,9,0.8627858627858628,0.9915,,
two_stage_max_failure_heads,xmodel,all,cell_f060+axon_f050+basal_f060+apical_f050,2402,211,0.08784346378018318,,0.9,two_stage,max_validation_percentile,0.2550335570469799,0.9047619047619048,0.8607068607068608,0.2857142857142857,0.9047619047619048,133,38,95,4,0.7941787941787942,1.0,,
two_stage_max_failure_heads,xmodel,all,cell_f060+axon_f050+basal_f060+apical_f050,2402,211,0.08784346378018318,,0.95,two_stage,max_validation_percentile,0.1702127659574468,0.9523809523809523,0.7297297297297297,0.16736401673640167,0.9523809523809523,239,40,199,2,0.5821205821205822,1.0,,
single_cell_f060,xmodel,pyramidal,cell_f060,1745,177,0.101432664756447,,0.5,hgb,full,0.6666666666666666,0.5,0.5152846479653659,0.5925925925925926,0.45714285714285713,27,16,11,19,0.9140401146131805,0.72743,0.5301501768582083,0.6059696365622559
single_cell_f060,xmodel,pyramidal,cell_f060,1745,177,0.101432664756447,,0.7,gb,full,0.52,0.7222222222222222,0.12923402384839539,0.5,0.6571428571428571,46,23,23,12,0.8997134670487106,0.86044,0.5947289634061612,0.483347815801588
single_cell_f060,xmodel,pyramidal,cell_f060,1745,177,0.101432664756447,paper/models/flag_improvement_sweep_seed123_branch3/pyramidal_xmodel_cell_f060_r080.joblib,0.8,rf,no_lab,0.5087719298245614,0.8055555555555556,0.25255932976731915,0.5384615384615384,0.8,52,28,24,7,0.9111747851002865,0.9764999999999999,0.5040107606805929,0.5558603583484708
