row_id,model_seed,file,cell_type_gt,n_nodes,seed_used,held_out_F1,acc,axon_F1,basal_F1,apical_F1,stage1_pred,stage1_conf,stage1_correct,n_components,soma_z,apical_mean_z,apical_above_soma,apical_z_extent,axon_frac,apical_frac,basal_frac,pred_axon,pred_basal,pred_apical,elapsed_s,source,bad_f060,categories,n_categories,flag_score,flagged,flag_selected_model,flag_selected_feature_set,in_bottom_slice
seed123:allen__Vip-IRES-Cre_Ai14-299123.04.01.01_570896413.swc,123,allen__Vip-IRES-Cre_Ai14-299123.04.01.01_570896413.swc,interneuron,4684,v12_gentle_seed123,0.9995,0.9996,0.9997,0.9994,,interneuron,0.9961,True,1,12.04,,,0.0,0.647,0.0,0.353,3032,1651,0,0.55,allen,False,,0,0.0215815741521726,False,hgb,full,False
seed123:allen__Vipr2-IRES2-Cre_Slc32a1-T2A-FlpO_Ai65-315067.05.01.01_585805211.swc,123,allen__Vipr2-IRES2-Cre_Slc32a1-T2A-FlpO_Ai65-315067.05.01.01_585805211.swc,interneuron,11008,v12_gentle_seed123,1.0,1.0,1.0,1.0,,interneuron,0.9942,True,1,28.64,,,0.0,0.808,0.0,0.192,8891,2116,0,1.47,allen,False,,0,0.0036366873796395,False,hgb,full,False
seed123:hpf_ca1__201983_017_edited.swc,123,hpf_ca1__201983_017_edited.swc,pyramidal,10101,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.9972,True,1,8898.04,8803.3,-94.74,502.76,0.584,0.28,0.137,5895,1380,2825,1.62,hpf_ca1,False,APICAL_INVERTED,1,0.017680815719799,False,hgb,full,False
seed123:hpf_ca1__201990_006_edited.swc,123,hpf_ca1__201990_006_edited.swc,pyramidal,66497,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.9955,True,1,9608.41,9381.83,-226.58,530.34,0.943,0.032,0.026,62695,1699,2102,5.53,hpf_ca1,False,APICAL_INVERTED,1,0.0064189393626447,False,hgb,full,False
seed123:hpf_ca1__201990_018_edited.swc,123,hpf_ca1__201990_018_edited.swc,pyramidal,8684,v12_gentle_seed123,0.5759,0.8687,1.0,0.7277,0.0,pyramidal,0.9969,True,1,9903.13,9425.67,-477.46,695.84,0.693,0.131,0.175,6020,2663,0,1.23,hpf_ca1,True,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED,3,0.659256341824333,True,hgb,full,True
seed123:hpf_ca1__201990_024_edited.swc,123,hpf_ca1__201990_024_edited.swc,pyramidal,22256,v12_gentle_seed123,0.5301,0.9254,1.0,0.5902,0.0,pyramidal,0.994,True,1,9660.46,9382.01,-278.45,529.95,0.872,0.075,0.054,19398,2857,0,2.7,hpf_ca1,True,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED,3,0.982127461037102,True,hgb,full,True
seed123:hpf_ca1__201990_025_edited.swc,123,hpf_ca1__201990_025_edited.swc,pyramidal,86114,v12_gentle_seed123,0.568,0.9794,1.0,0.704,0.0,pyramidal,0.9972,True,1,9440.77,9159.67,-281.1,655.71,0.955,0.021,0.024,82234,3879,0,7.63,hpf_ca1,True,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED,3,0.9538155274664994,True,hgb,full,True
seed123:hpf_ca1__201990_031_edited.swc,123,hpf_ca1__201990_031_edited.swc,pyramidal,55514,v12_gentle_seed123,0.7393,0.9615,1.0,0.4785,,pyramidal,0.9971,True,1,9252.15,,,0.0,0.944,0.0,0.056,52397,980,2136,5.43,hpf_ca1,False,BASAL_LOST,1,0.0106750674423912,False,hgb,full,False
seed123:hpf_ca1__201990_041_edited.swc,123,hpf_ca1__201990_041_edited.swc,pyramidal,50121,v12_gentle_seed123,1.0,1.0,1.0,1.0,,pyramidal,0.9967,True,1,9524.12,,,0.0,0.949,0.0,0.051,47556,2564,0,4.07,hpf_ca1,False,,0,0.071297698348529,False,hgb,full,False
seed123:hpf_ca1__201990_069_edited.swc,123,hpf_ca1__201990_069_edited.swc,pyramidal,27674,v12_gentle_seed123,1.0,1.0,1.0,1.0,,pyramidal,0.9971,True,1,9297.32,,,0.0,0.933,0.0,0.067,25814,1859,0,4.07,hpf_ca1,False,,0,0.0551833024080169,False,hgb,full,False
seed123:hpf_ca1__202217_016_edited.swc,123,hpf_ca1__202217_016_edited.swc,pyramidal,26143,v12_gentle_seed123,1.0,1.0,1.0,1.0,,pyramidal,0.9798,True,1,8766.3,,,0.0,0.919,0.0,0.081,24036,2106,0,8.63,hpf_ca1,False,,0,0.0189116820989626,False,hgb,full,False
seed123:hpf_ca1__202217_018_edited.swc,123,hpf_ca1__202217_018_edited.swc,pyramidal,45687,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.9971,True,1,9069.12,8973.78,-95.34,292.14,0.94,0.032,0.028,42952,1288,1446,4.8,hpf_ca1,False,APICAL_INVERTED,1,0.0022937476073481,False,hgb,full,False
seed123:hpf_ca1__202217_021_edited.swc,123,hpf_ca1__202217_021_edited.swc,pyramidal,22279,v12_gentle_seed123,0.9997,1.0,1.0,0.9993,0.9996,pyramidal,0.9968,True,1,9146.69,8965.35,-181.34,460.68,0.909,0.057,0.034,20248,767,1263,2.44,hpf_ca1,False,APICAL_INVERTED,1,0.0044625491631486,False,hgb,full,False
seed123:hpf_ca1__202217_023_edited.swc,123,hpf_ca1__202217_023_edited.swc,pyramidal,16882,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.9976,True,1,9098.52,8957.48,-141.04,388.9,0.804,0.128,0.068,13568,1151,2162,2.28,hpf_ca1,False,APICAL_INVERTED,1,0.004799363702327,False,hgb,full,False
seed123:hpf_ca1__202219_003_edited.swc,123,hpf_ca1__202219_003_edited.swc,pyramidal,16614,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.9976,True,1,8963.37,8827.45,-135.92,448.72,0.85,0.096,0.054,14114,904,1595,2.32,hpf_ca1,False,APICAL_INVERTED,1,0.0043069157559877,False,hgb,full,False
seed123:hpf_ca1__202219_004_edited.swc,123,hpf_ca1__202219_004_edited.swc,pyramidal,25888,v12_gentle_seed123,1.0,1.0,1.0,1.0,,pyramidal,0.9961,True,1,8917.53,,,0.0,0.933,0.0,0.067,24160,1727,0,2.67,hpf_ca1,False,,0,0.7091716601420438,True,hgb,full,False
seed123:hpf_ca1__202219_006_edited.swc,123,hpf_ca1__202219_006_edited.swc,pyramidal,63317,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.9975,True,1,8898.9,8756.84,-142.06,561.99,0.917,0.053,0.03,58044,1911,3361,6.26,hpf_ca1,False,APICAL_INVERTED,1,0.0185341900118486,False,hgb,full,False
seed123:hpf_ca1__202219_007_edited.swc,123,hpf_ca1__202219_007_edited.swc,pyramidal,25135,v12_gentle_seed123,1.0,1.0,1.0,1.0,,pyramidal,0.9882,True,1,8798.94,,,0.0,0.963,0.0,0.037,24193,941,0,3.8,hpf_ca1,False,,0,0.0218676468592053,False,hgb,full,False
seed123:hpf_ca1__202219_014_edited.swc,123,hpf_ca1__202219_014_edited.swc,pyramidal,5330,v12_gentle_seed123,1.0,1.0,1.0,1.0,,pyramidal,0.9892,True,1,9007.84,,,0.0,0.896,0.0,0.103,4778,551,0,1.09,hpf_ca1,False,,0,0.0337070736672916,False,hgb,full,False
seed123:hpf_ca1__202219_029_edited.swc,123,hpf_ca1__202219_029_edited.swc,pyramidal,46427,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.9973,True,1,8845.88,8767.61,-78.27,425.86,0.934,0.042,0.024,43356,1120,1950,4.04,hpf_ca1,False,APICAL_INVERTED,1,0.0059463496417003,False,hgb,full,False
seed123:hpf_ca1__202219_032_edited.swc,123,hpf_ca1__202219_032_edited.swc,pyramidal,30040,v12_gentle_seed123,1.0,1.0,1.0,1.0,,pyramidal,0.9916,True,1,8957.41,,,0.0,0.934,0.0,0.066,28046,1993,0,4.62,hpf_ca1,False,,0,0.0290443507736788,False,hgb,full,False
seed123:hpf_ca1__202219_041_edited.swc,123,hpf_ca1__202219_041_edited.swc,pyramidal,33018,v12_gentle_seed123,1.0,1.0,1.0,1.0,,pyramidal,0.996,True,1,8956.4,,,0.0,0.976,0.0,0.024,32212,805,0,3.45,hpf_ca1,False,,0,0.0744407804514981,False,hgb,full,False
seed123:hpf_ca1__202225_004_edited.swc,123,hpf_ca1__202225_004_edited.swc,pyramidal,44311,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.9974,True,1,9697.16,9331.89,-365.27,669.76,0.888,0.061,0.052,39328,2292,2690,4.37,hpf_ca1,False,APICAL_INVERTED,1,0.0059019460349256,False,hgb,full,False
seed123:hpf_ca1__202225_007_edited.swc,123,hpf_ca1__202225_007_edited.swc,pyramidal,21347,v12_gentle_seed123,0.8233,0.9003,1.0,0.6465,,pyramidal,0.8579,True,1,9290.59,,,0.0,0.809,0.0,0.191,17270,1947,2129,4.24,hpf_ca1,False,,0,0.0157369891493952,False,hgb,full,False
seed123:hpf_ca1__202225_009_edited.swc,123,hpf_ca1__202225_009_edited.swc,pyramidal,28519,v12_gentle_seed123,1.0,1.0,1.0,1.0,,pyramidal,0.9929,True,1,9296.02,,,0.0,0.939,0.0,0.061,26767,1751,0,4.35,hpf_ca1,False,,0,0.0224651889807723,False,hgb,full,False
seed123:hpf_ca1__202225_054_edited.swc,123,hpf_ca1__202225_054_edited.swc,pyramidal,19882,v12_gentle_seed123,1.0,1.0,1.0,1.0,,pyramidal,0.9957,True,1,9662.4,,,0.0,0.777,0.0,0.223,15450,4431,0,3.81,hpf_ca1,False,,0,0.5212494097696652,True,hgb,full,False
seed123:hpf_ca1__202226_006_edited.swc,123,hpf_ca1__202226_006_edited.swc,pyramidal,70303,v12_gentle_seed123,0.6811,0.7405,0.8361,0.2073,1.0,pyramidal,0.9974,True,1,9712.41,9454.59,-257.82,540.97,0.921,0.045,0.034,46539,20629,3134,6.58,hpf_ca1,False,APICAL_INVERTED|AXON_DENDRITE_CONFUSION|BASAL_LOST,3,0.2589332480926941,False,hgb,full,False
seed123:hpf_ca1__202226_007_edited.swc,123,hpf_ca1__202226_007_edited.swc,pyramidal,30190,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.9912,True,1,9695.54,9442.07,-253.47,682.3,0.84,0.125,0.035,25365,1046,3778,3.13,hpf_ca1,False,APICAL_INVERTED,1,0.0149000053203818,False,hgb,full,False
seed123:hpf_ca1__202226_009_edited.swc,123,hpf_ca1__202226_009_edited.swc,pyramidal,40911,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.9957,True,1,9774.93,9525.6,-249.33,498.69,0.813,0.038,0.149,33275,6088,1547,3.56,hpf_ca1,False,APICAL_INVERTED,1,0.2710911740978498,False,hgb,full,False
seed123:hpf_ca1__202226_011_edited.swc,123,hpf_ca1__202226_011_edited.swc,pyramidal,16855,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.9881,True,1,9810.22,9513.6,-296.62,543.69,0.779,0.081,0.14,13137,2354,1363,1.95,hpf_ca1,False,APICAL_INVERTED,1,0.11436333998114,False,hgb,full,False
seed123:hpf_ca1__202226_022_edited.swc,123,hpf_ca1__202226_022_edited.swc,pyramidal,21190,v12_gentle_seed123,1.0,1.0,1.0,1.0,,pyramidal,0.8955,True,1,9485.56,,,0.0,0.93,0.0,0.07,19716,1473,0,2.42,hpf_ca1,False,,0,0.192948650369226,False,hgb,full,False
seed123:hpf_ca1__202232_007_edited.swc,123,hpf_ca1__202232_007_edited.swc,pyramidal,67100,v12_gentle_seed123,1.0,1.0,1.0,1.0,,pyramidal,0.6277,True,1,9410.83,,,0.0,0.938,0.0,0.062,62956,4143,0,10.76,hpf_ca1,False,,0,0.0248737346500423,False,hgb,full,False
seed123:hpf_ca1__202232_073_edited.swc,123,hpf_ca1__202232_073_edited.swc,pyramidal,92178,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.997,True,1,9427.24,9272.58,-154.66,458.31,0.948,0.029,0.023,87383,2088,2706,8.29,hpf_ca1,False,APICAL_INVERTED,1,0.0112185011445295,False,hgb,full,False
seed123:hpf_ca1__202233_006_edited.swc,123,hpf_ca1__202233_006_edited.swc,pyramidal,91730,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.9974,True,1,9433.22,9256.55,-176.67,503.42,0.946,0.033,0.02,86796,1873,3060,8.95,hpf_ca1,False,APICAL_INVERTED,1,0.0175967133369355,False,hgb,full,False
seed123:hpf_ca1__202233_017_edited.swc,123,hpf_ca1__202233_017_edited.swc,pyramidal,55771,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.9974,True,1,9586.24,9358.57,-227.67,556.29,0.912,0.057,0.031,50880,1703,3187,5.56,hpf_ca1,False,APICAL_INVERTED,1,0.0036536931964049,False,hgb,full,False
seed123:hpf_ca1__202234_014_edited.swc,123,hpf_ca1__202234_014_edited.swc,pyramidal,13715,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.9968,True,1,9592.16,9376.09,-216.07,449.02,0.787,0.162,0.051,10792,703,2219,1.97,hpf_ca1,False,APICAL_INVERTED,1,0.0056142291303515,False,hgb,full,False
seed123:hpf_ca1__202234_026_edited.swc,123,hpf_ca1__202234_026_edited.swc,pyramidal,105116,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.9971,True,1,9806.9,9609.45,-197.45,763.61,0.963,0.026,0.011,101176,1199,2740,5.61,hpf_ca1,False,APICAL_INVERTED,1,0.0132733881677124,False,hgb,full,False
seed123:hpf_ca1__202234_029_edited.swc,123,hpf_ca1__202234_029_edited.swc,pyramidal,15181,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.9965,True,1,9689.21,9464.5,-224.71,614.41,0.85,0.097,0.053,12902,799,1479,1.77,hpf_ca1,False,APICAL_INVERTED,1,0.0058397301569075,False,hgb,full,False
seed123:hpf_ca1__202234_031_edited.swc,123,hpf_ca1__202234_031_edited.swc,pyramidal,16311,v12_gentle_seed123,1.0,1.0,1.0,1.0,,pyramidal,0.9729,True,1,9299.61,,,0.0,0.92,0.0,0.08,15004,1306,0,2.72,hpf_ca1,False,,0,0.0583670564735515,False,hgb,full,False
seed123:hpf_ca1__202235_014_edited.swc,123,hpf_ca1__202235_014_edited.swc,pyramidal,27347,v12_gentle_seed123,1.0,1.0,1.0,1.0,,pyramidal,0.996,True,1,8629.59,,,0.0,0.894,0.0,0.106,24459,2887,0,2.45,hpf_ca1,False,,0,0.0458986559968499,False,hgb,full,False
seed123:hpf_ca1__202237_028_edited.swc,123,hpf_ca1__202237_028_edited.swc,pyramidal,29490,v12_gentle_seed123,1.0,1.0,1.0,1.0,1.0,pyramidal,0.9974,True,1,8647.58,8432.62,-214.96,485.46,0.935,0.04,0.025,27576,731,1182,2.77,hpf_ca1,False,APICAL_INVERTED,1,0.0046619270831477,False,hgb,full,False
seed123:hpf_ca1__202237_041_edited.swc,123,hpf_ca1__202237_041_edited.swc,pyramidal,21926,v12_gentle_seed123,1.0,1.0,1.0,1.0,,pyramidal,0.9912,True,1,8178.3,,,0.0,0.852,0.0,0.148,18677,3248,0,3.68,hpf_ca1,False,,0,0.0716540908624086,False,hgb,full,False
