method,file,cell_type,n_nodes,accuracy,neurite_macro_f1
neurom_rf,hpf_ca1__202274_126_edited.swc,pyramidal,8387,0.7530,0.6577
neurom_rf,hpf_ca1__202392_001_edited.swc,pyramidal,34301,0.9919,0.9360
neurom_rf,hpf_ca1__202392_002_edited.swc,pyramidal,62170,0.9835,0.8629
neurom_rf,hpf_ca1__202393_002_edited.swc,pyramidal,59225,0.9881,0.9241
neurom_rf,hpf_ca1__202396_035_edited.swc,pyramidal,48891,0.9876,0.9017
neurom_rf,hpf_ca1__202396_051_edited.swc,pyramidal,44449,0.9822,0.9077
neurom_rf,hpf_ca1__202396_173_edited.swc,pyramidal,75572,0.9718,0.7896
neurom_rf,hpf_ca1__202396_184_edited.swc,pyramidal,45900,0.9887,0.9251
neurom_rf,hpf_ca1__202399_012_edited.swc,pyramidal,47774,0.9937,0.9630
neurom_rf,hpf_ca1__202400_008_edited.swc,pyramidal,18099,0.9786,0.9235
neurom_rf,hpf_ca1__202400_018_edited.swc,pyramidal,74049,0.9718,0.7742
neurom_rf,hpf_ca1__202400_033_edited.swc,pyramidal,66082,0.9798,0.8308
neurom_rf,hpf_ca1__202400_049_edited.swc,pyramidal,14459,0.9785,0.9422
neurom_rf,hpf_ca1__202400_117_edited.swc,pyramidal,21137,0.9603,0.8422
neurom_rf,hpf_ca1__202401_144_edited.swc,pyramidal,50041,0.9843,0.9141
neurom_rf,hpf_ca1__202401_205_edited.swc,pyramidal,68375,0.9604,0.7758
neurom_rf,hpf_ca1__202401_229_edited.swc,pyramidal,63673,0.9871,0.8981
neurom_rf,hpf_ca1__202402_015_edited.swc,pyramidal,40277,0.9759,0.8520
neurom_rf,hpf_ca1__202402_016_edited.swc,pyramidal,15991,0.9792,0.9459
neurom_rf,hpf_ca1__202402_025_edited.swc,pyramidal,52984,0.9908,0.9118
neurom_rf,hpf_ca1__202402_054_edited.swc,pyramidal,42176,0.9586,0.8050
neurom_rf,hpf_ca1__202403_125_edited.swc,pyramidal,85402,0.9885,0.9111
neurom_rf,hpf_ca1__202403_126_edited.swc,pyramidal,104418,0.9934,0.9538
neurom_rf,hpf_ca1__202403_129_edited.swc,pyramidal,119979,0.9733,0.7892
neurom_rf,hpf_ca1__202404_038_edited.swc,pyramidal,95209,0.9290,0.6043
neurom_rf,hpf_ca1__202404_041_edited.swc,pyramidal,53487,0.9640,0.8439
neurom_rf,hpf_ca1__202409_001_edited.swc,pyramidal,60887,0.9406,0.6198
neurom_rf,hpf_ca1__202409_003_edited.swc,pyramidal,23409,0.8921,0.8090
neurom_rf,hpf_ca1__202410_002_edited.swc,pyramidal,27576,0.7924,0.6963
neurom_rf,hpf_ca1__202410_008_edited.swc,pyramidal,18551,0.9109,0.7875
neurom_rf,hpf_ca1__202410_011_edited.swc,pyramidal,46236,0.9560,0.6960
neurom_rf,hpf_ca1__202410_017_edited.swc,pyramidal,26447,0.9259,0.8711
neurom_rf,hpf_ca1__202411_004_edited.swc,pyramidal,17173,0.8745,0.6478
neurom_rf,hpf_ca1__202411_007_edited.swc,pyramidal,18419,0.9128,0.6961
neurom_rf,hpf_ca1__202412_006_edited.swc,pyramidal,9590,0.9666,0.9277
neurom_rf,hpf_ca1__202412_007_edited.swc,pyramidal,78218,0.9916,0.8924
neurom_rf,hpf_ca1__202412_009_edited.swc,pyramidal,36311,0.9901,0.9241
neurom_rf,hpf_ca1__202412_013_edited.swc,pyramidal,38894,0.9886,0.9034
neurom_rf,hpf_ca1__202413_061_edited.swc,pyramidal,77986,0.9841,0.8074
neurom_rf,hpf_ca1__202414_008_edited.swc,pyramidal,81211,0.9726,0.7731
neurom_rf,hpf_ca1__202414_260_edited.swc,pyramidal,31302,0.9248,0.6944
neurom_rf,hpf_ca1__202414_448_edited.swc,pyramidal,98179,0.9891,0.8780
neurom_rf,hpf_ca1__202414_533_edited.swc,pyramidal,90455,0.9822,0.8684
neurom_rf,hpf_ca1__202414_540_edited.swc,pyramidal,62719,0.9711,0.8365
neurom_rf,hpf_ca1__202415_026_edited.swc,pyramidal,81121,0.9961,0.9417
neurom_rf,hpf_ca1__202415_035_edited.swc,pyramidal,39108,0.9883,0.9020
neurom_rf,hpf_ca1__202417_006_edited.swc,pyramidal,36956,0.9605,0.8489
neurom_rf,hpf_ca1__202417_047_edited.swc,pyramidal,12723,0.9491,0.8884
neurom_rf,hpf_ca1__202422_010_edited.swc,pyramidal,15440,0.9639,0.8995
neurom_rf,hpf_ca1__202423_003_edited.swc,pyramidal,62691,0.9840,0.8535
neurom_rf,hpf_ca1__202423_004_edited.swc,pyramidal,31408,0.9840,0.9370
neurom_rf,hpf_ca1__202423_009_edited.swc,pyramidal,48791,0.9922,0.9374
neurom_rf,hpf_ca1__202423_013_edited.swc,pyramidal,45777,0.9862,0.8737
neurom_rf,hpf_ca1__202423_018_edited.swc,pyramidal,12551,0.9786,0.9470
neurom_rf,hpf_ca1__202423_033_edited.swc,pyramidal,59489,0.9836,0.8395
neurom_rf,hpf_ca1__202426_023_edited.swc,pyramidal,21107,0.6847,0.6646
