precision,recall,threshold
0.07974626189397371,1.0,0.0033678842257888
0.0797583081570997,1.0,0.0033788519024347
0.07977035806012993,1.0,0.0033866955600038
0.07978241160471441,1.0,0.0033954121595199
0.07979446879250415,1.0,0.0034006028082685
0.07980652962515115,1.0,0.0034086257079362
0.07981859410430839,1.0,0.003424399400574
0.07983066223162988,1.0,0.003441709249672
0.07984273400877061,1.0,0.0034429462144091
0.07985480943738657,1.0,0.0034441371516006
0.07986688851913477,1.0,0.0034462941055106
0.07987897125567323,1.0,0.0034479418033922
0.07989105764866092,1.0,0.0034647126527054
0.07990314769975787,1.0,0.0034684531440471
0.0799152414106251,1.0,0.0034778785769763
0.07992733878292461,1.0,0.003483774243483
0.07993943981831945,1.0,0.0034867112944929
0.07995154451847365,1.0,0.0035048504512353
0.07996365288505225,1.0,0.0035116588145582
0.07997576491972129,1.0,0.0035142543250057
0.07998788062414786,1.0,0.0035158666519829
0.08,1.0,0.0035201005199309
0.08001212304894681,1.0,0.0035260626729111
0.08003638017280582,1.0,0.0035304281913614
0.08004851425106124,1.0,0.0035321495868301
0.0800606520090978,1.0,0.0035391314911731
0.08007279344858963,1.0,0.0035398665685025
0.08008493857121189,1.0,0.0035405629870839
0.08009708737864078,1.0,0.0035516458620705
0.08010923987255349,1.0,0.0035628799813763
0.08012139605462823,1.0,0.0035650772768248
0.08013355592654424,1.0,0.0035673816952486
0.08014571948998178,1.0,0.0035685828827033
0.08015788674662214,1.0,0.003570627516209
0.08017005769814758,1.0,0.0035814613610339
0.08018223234624146,1.0,0.00358612590749
0.08019441069258809,1.0,0.0035911639075007
0.08020659273887286,1.0,0.0035938742908904
0.08021877848678213,1.0,0.0035977150978499
0.08023096793800334,1.0,0.0035997586139355
0.08024316109422493,1.0,0.0036009847796129
0.08025535795713634,1.0,0.0036057036899738
0.0802675585284281,1.0,0.0036101967587618
0.0802797628097917,1.0,0.0036137104241813
0.08029197080291971,1.0,0.0036155525958782
0.0803041825095057,1.0,0.0036225531050671
0.0803163979312443,1.0,0.0036247472385291
0.08032861706983113,1.0,0.0036307601073745
0.08034083992696288,1.0,0.0036310115943196
0.08035306650433724,1.0,0.003631943107247
0.08036529680365297,1.0,0.003635037606453
0.08037753082660984,1.0,0.0036366873796395
0.08038976857490865,1.0,0.0036398053755572
0.08040201005025126,1.0,0.0036400974896442
0.08041425525434054,1.0,0.003640108468007
0.08042650418888042,1.0,0.0036428102358218
0.08043875685557587,1.0,0.0036450663868736
0.08045101325613287,1.0,0.0036460212924756
0.08046327339225846,1.0,0.0036519913584987
